duelist_id,duelist,pool,card_id,card,weight,chance_percent
0,(unused; copy of Simon Muran),B/C/D,58,Kuriboh,30,1.4648
0,(unused; copy of Simon Muran),B/C/D,102,Mask of Darkness,14,0.6836
0,(unused; copy of Simon Muran),B/C/D,105,Tomozaurus,57,2.7832
0,(unused; copy of Simon Muran),B/C/D,123,Dark Plant,57,2.7832
0,(unused; copy of Simon Muran),B/C/D,130,Weather Control,57,2.7832
0,(unused; copy of Simon Muran),B/C/D,137,Mystery Hand,57,2.7832
0,(unused; copy of Simon Muran),B/C/D,167,Ancient Jar,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,192,Key Mace,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,197,Mech Mole Zombie,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,202,Air Marmot of Nefariousness,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,237,Haniwa,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,238,Yashinoki,14,0.6836
0,(unused; copy of Simon Muran),B/C/D,289,Change Slime,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,301,Legendary Sword,20,0.9766
0,(unused; copy of Simon Muran),B/C/D,333,Sogen,40,1.9531
0,(unused; copy of Simon Muran),B/C/D,387,Mystic Lamp,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,397,Leghul,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,402,Monster Eye,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,410,Mechanical Spider,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,411,Bat,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,422,Jinzo #7,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,436,White Dolphin,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,444,Turu-Purun,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,469,Armed Ninja,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,484,Ameba,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,485,Korogashi,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,488,Rainbow Flower,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,504,Fungi of the Musk,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,516,Muka Muka,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,547,Griggle,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,548,Bone Mouse,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,558,Pot the Trick,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,563,Wretched Ghost of the Attic,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,635,Queen's Double,56,2.7344
0,(unused; copy of Simon Muran),B/C/D,677,Hamburger Recipe,18,0.8789
0,(unused; copy of Simon Muran),B/C/D,681,House of Adhesive Tape,18,0.8789
0,(unused; copy of Simon Muran),B/C/D,690,Fake Trap,18,0.8789
0,(unused; copy of Simon Muran),S/A TEC,9,Shadow Specter,92,4.4922
0,(unused; copy of Simon Muran),S/A TEC,16,Time Wizard,54,2.6367
0,(unused; copy of Simon Muran),S/A TEC,19,Right Arm of the Forbidden One,6,0.293
0,(unused; copy of Simon Muran),S/A TEC,24,Skull Servant,27,1.3184
0,(unused; copy of Simon Muran),S/A TEC,47,Torike,27,1.3184
0,(unused; copy of Simon Muran),S/A TEC,48,Sangan,27,1.3184
0,(unused; copy of Simon Muran),S/A TEC,58,Kuriboh,27,1.3184
0,(unused; copy of Simon Muran),S/A TEC,102,Mask of Darkness,12,0.5859
0,(unused; copy of Simon Muran),S/A TEC,105,Tomozaurus,53,2.5879
0,(unused; copy of Simon Muran),S/A TEC,123,Dark Plant,53,2.5879
0,(unused; copy of Simon Muran),S/A TEC,130,Weather Control,53,2.5879
0,(unused; copy of Simon Muran),S/A TEC,137,Mystery Hand,53,2.5879
0,(unused; copy of Simon Muran),S/A TEC,167,Ancient Jar,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,192,Key Mace,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,197,Mech Mole Zombie,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,202,Air Marmot of Nefariousness,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,237,Haniwa,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,238,Yashinoki,12,0.5859
0,(unused; copy of Simon Muran),S/A TEC,289,Change Slime,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,301,Legendary Sword,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,313,Horn of Light,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,314,Horn of the Unicorn,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,333,Sogen,36,1.7578
0,(unused; copy of Simon Muran),S/A TEC,336,Dark Hole,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,349,Spellbinding Circle,36,1.7578
0,(unused; copy of Simon Muran),S/A TEC,387,Mystic Lamp,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,397,Leghul,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,402,Monster Eye,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,410,Mechanical Spider,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,411,Bat,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,422,Jinzo #7,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,436,White Dolphin,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,444,Turu-Purun,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,469,Armed Ninja,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,484,Ameba,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,485,Korogashi,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,488,Rainbow Flower,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,504,Fungi of the Musk,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,516,Muka Muka,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,547,Griggle,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,548,Bone Mouse,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,558,Pot the Trick,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,563,Wretched Ghost of the Attic,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,635,Queen's Double,52,2.5391
0,(unused; copy of Simon Muran),S/A TEC,676,Commencement Dance,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,677,Hamburger Recipe,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,681,House of Adhesive Tape,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,682,Eatgaboon,20,0.9766
0,(unused; copy of Simon Muran),S/A TEC,690,Fake Trap,20,0.9766
0,(unused; copy of Simon Muran),deck,9,Shadow Specter,72,3.5156
0,(unused; copy of Simon Muran),deck,17,Right Leg of the Forbidden One,1,0.0488
0,(unused; copy of Simon Muran),deck,18,Left Leg of the Forbidden One,1,0.0488
0,(unused; copy of Simon Muran),deck,19,Right Arm of the Forbidden One,1,0.0488
0,(unused; copy of Simon Muran),deck,20,Left Arm of the Forbidden One,1,0.0488
0,(unused; copy of Simon Muran),deck,21,Exodia the Forbidden,1,0.0488
0,(unused; copy of Simon Muran),deck,24,Skull Servant,72,3.5156
0,(unused; copy of Simon Muran),deck,58,Kuriboh,72,3.5156
0,(unused; copy of Simon Muran),deck,123,Dark Plant,72,3.5156
0,(unused; copy of Simon Muran),deck,167,Ancient Jar,80,3.9062
0,(unused; copy of Simon Muran),deck,192,Key Mace,72,3.5156
0,(unused; copy of Simon Muran),deck,289,Change Slime,72,3.5156
0,(unused; copy of Simon Muran),deck,338,Mooyan Curry,48,2.3438
0,(unused; copy of Simon Muran),deck,343,Sparks,100,4.8828
0,(unused; copy of Simon Muran),deck,387,Mystic Lamp,72,3.5156
0,(unused; copy of Simon Muran),deck,394,Steel Scorpion,80,3.9062
0,(unused; copy of Simon Muran),deck,395,Dancing Elf,72,3.5156
0,(unused; copy of Simon Muran),deck,397,Leghul,70,3.418
0,(unused; copy of Simon Muran),deck,398,Ooguchi,80,3.9062
0,(unused; copy of Simon Muran),deck,399,Swordsman from a Foreign Land,70,3.418
0,(unused; copy of Simon Muran),deck,402,Monster Eye,80,3.9062
0,(unused; copy of Simon Muran),deck,411,Bat,80,3.9062
0,(unused; copy of Simon Muran),deck,428,Magician of Faith,75,3.6621
0,(unused; copy of Simon Muran),deck,469,Armed Ninja,80,3.9062
0,(unused; copy of Simon Muran),deck,475,Sinister Serpent,80,3.9062
0,(unused; copy of Simon Muran),deck,484,Ameba,80,3.9062
0,(unused; copy of Simon Muran),deck,499,Kattapillar,80,3.9062
0,(unused; copy of Simon Muran),deck,504,Fungi of the Musk,72,3.5156
0,(unused; copy of Simon Muran),deck,527,Milus Radiant,80,3.9062
0,(unused; copy of Simon Muran),deck,547,Griggle,80,3.9062
0,(unused; copy of Simon Muran),deck,548,Bone Mouse,72,3.5156
0,(unused; copy of Simon Muran),deck,635,Queen's Double,80,3.9062
1,Simon Muran,S/A POW,2,Mystical Elf,27,1.3184
1,Simon Muran,S/A POW,9,Shadow Specter,90,4.3945
1,Simon Muran,S/A POW,10,Blackland Fire Dragon,30,1.4648
1,Simon Muran,S/A POW,16,Time Wizard,60,2.9297
1,Simon Muran,S/A POW,19,Right Arm of the Forbidden One,6,0.293
1,Simon Muran,S/A POW,24,Skull Servant,27,1.3184
1,Simon Muran,S/A POW,25,Horn Imp,27,1.3184
1,Simon Muran,S/A POW,30,Zombie Warrior,27,1.3184
1,Simon Muran,S/A POW,41,Celtic Guardian,27,1.3184
1,Simon Muran,S/A POW,46,Griffore,27,1.3184
1,Simon Muran,S/A POW,47,Torike,27,1.3184
1,Simon Muran,S/A POW,48,Sangan,27,1.3184
1,Simon Muran,S/A POW,58,Kuriboh,30,1.4648
1,Simon Muran,S/A POW,59,Mammoth Graveyard,27,1.3184
1,Simon Muran,S/A POW,65,Silver Fang,27,1.3184
1,Simon Muran,S/A POW,105,Tomozaurus,52,2.5391
1,Simon Muran,S/A POW,123,Dark Plant,52,2.5391
1,Simon Muran,S/A POW,130,Weather Control,52,2.5391
1,Simon Muran,S/A POW,137,Mystery Hand,52,2.5391
1,Simon Muran,S/A POW,167,Ancient Jar,52,2.5391
1,Simon Muran,S/A POW,192,Key Mace,52,2.5391
1,Simon Muran,S/A POW,197,Mech Mole Zombie,52,2.5391
1,Simon Muran,S/A POW,202,Air Marmot of Nefariousness,52,2.5391
1,Simon Muran,S/A POW,237,Haniwa,52,2.5391
1,Simon Muran,S/A POW,238,Yashinoki,12,0.5859
1,Simon Muran,S/A POW,289,Change Slime,52,2.5391
1,Simon Muran,S/A POW,333,Sogen,40,1.9531
1,Simon Muran,S/A POW,381,Toon Alligator,2,0.0977
1,Simon Muran,S/A POW,387,Mystic Lamp,52,2.5391
1,Simon Muran,S/A POW,397,Leghul,52,2.5391
1,Simon Muran,S/A POW,402,Monster Eye,52,2.5391
1,Simon Muran,S/A POW,410,Mechanical Spider,52,2.5391
1,Simon Muran,S/A POW,411,Bat,52,2.5391
1,Simon Muran,S/A POW,422,Jinzo #7,52,2.5391
1,Simon Muran,S/A POW,436,White Dolphin,52,2.5391
1,Simon Muran,S/A POW,444,Turu-Purun,52,2.5391
1,Simon Muran,S/A POW,469,Armed Ninja,52,2.5391
1,Simon Muran,S/A POW,484,Ameba,52,2.5391
1,Simon Muran,S/A POW,485,Korogashi,52,2.5391
1,Simon Muran,S/A POW,488,Rainbow Flower,52,2.5391
1,Simon Muran,S/A POW,504,Fungi of the Musk,52,2.5391
1,Simon Muran,S/A POW,516,Muka Muka,52,2.5391
1,Simon Muran,S/A POW,547,Griggle,52,2.5391
1,Simon Muran,S/A POW,548,Bone Mouse,52,2.5391
1,Simon Muran,S/A POW,558,Pot the Trick,52,2.5391
1,Simon Muran,S/A POW,563,Wretched Ghost of the Attic,52,2.5391
1,Simon Muran,S/A POW,635,Queen's Double,52,2.5391
1,Simon Muran,B/C/D,9,Shadow Specter,98,4.7852
1,Simon Muran,B/C/D,16,Time Wizard,57,2.7832
1,Simon Muran,B/C/D,19,Right Arm of the Forbidden One,6,0.293
1,Simon Muran,B/C/D,24,Skull Servant,29,1.416
1,Simon Muran,B/C/D,47,Torike,29,1.416
1,Simon Muran,B/C/D,48,Sangan,29,1.416
1,Simon Muran,B/C/D,58,Kuriboh,30,1.4648
1,Simon Muran,B/C/D,102,Mask of Darkness,14,0.6836
1,Simon Muran,B/C/D,105,Tomozaurus,57,2.7832
1,Simon Muran,B/C/D,123,Dark Plant,57,2.7832
1,Simon Muran,B/C/D,130,Weather Control,57,2.7832
1,Simon Muran,B/C/D,137,Mystery Hand,57,2.7832
1,Simon Muran,B/C/D,167,Ancient Jar,56,2.7344
1,Simon Muran,B/C/D,192,Key Mace,56,2.7344
1,Simon Muran,B/C/D,197,Mech Mole Zombie,56,2.7344
1,Simon Muran,B/C/D,202,Air Marmot of Nefariousness,56,2.7344
1,Simon Muran,B/C/D,237,Haniwa,56,2.7344
1,Simon Muran,B/C/D,238,Yashinoki,14,0.6836
1,Simon Muran,B/C/D,289,Change Slime,56,2.7344
1,Simon Muran,B/C/D,301,Legendary Sword,20,0.9766
1,Simon Muran,B/C/D,333,Sogen,40,1.9531
1,Simon Muran,B/C/D,387,Mystic Lamp,56,2.7344
1,Simon Muran,B/C/D,397,Leghul,56,2.7344
1,Simon Muran,B/C/D,402,Monster Eye,56,2.7344
1,Simon Muran,B/C/D,410,Mechanical Spider,56,2.7344
1,Simon Muran,B/C/D,411,Bat,56,2.7344
1,Simon Muran,B/C/D,422,Jinzo #7,56,2.7344
1,Simon Muran,B/C/D,436,White Dolphin,56,2.7344
1,Simon Muran,B/C/D,444,Turu-Purun,56,2.7344
1,Simon Muran,B/C/D,469,Armed Ninja,56,2.7344
1,Simon Muran,B/C/D,484,Ameba,56,2.7344
1,Simon Muran,B/C/D,485,Korogashi,56,2.7344
1,Simon Muran,B/C/D,488,Rainbow Flower,56,2.7344
1,Simon Muran,B/C/D,504,Fungi of the Musk,56,2.7344
1,Simon Muran,B/C/D,516,Muka Muka,56,2.7344
1,Simon Muran,B/C/D,547,Griggle,56,2.7344
1,Simon Muran,B/C/D,548,Bone Mouse,56,2.7344
1,Simon Muran,B/C/D,558,Pot the Trick,56,2.7344
1,Simon Muran,B/C/D,563,Wretched Ghost of the Attic,56,2.7344
1,Simon Muran,B/C/D,635,Queen's Double,56,2.7344
1,Simon Muran,B/C/D,677,Hamburger Recipe,18,0.8789
1,Simon Muran,B/C/D,681,House of Adhesive Tape,18,0.8789
1,Simon Muran,B/C/D,690,Fake Trap,18,0.8789
1,Simon Muran,S/A TEC,9,Shadow Specter,92,4.4922
1,Simon Muran,S/A TEC,16,Time Wizard,54,2.6367
1,Simon Muran,S/A TEC,19,Right Arm of the Forbidden One,6,0.293
1,Simon Muran,S/A TEC,24,Skull Servant,27,1.3184
1,Simon Muran,S/A TEC,47,Torike,27,1.3184
1,Simon Muran,S/A TEC,48,Sangan,27,1.3184
1,Simon Muran,S/A TEC,58,Kuriboh,27,1.3184
1,Simon Muran,S/A TEC,102,Mask of Darkness,12,0.5859
1,Simon Muran,S/A TEC,105,Tomozaurus,53,2.5879
1,Simon Muran,S/A TEC,123,Dark Plant,53,2.5879
1,Simon Muran,S/A TEC,130,Weather Control,53,2.5879
1,Simon Muran,S/A TEC,137,Mystery Hand,53,2.5879
1,Simon Muran,S/A TEC,167,Ancient Jar,52,2.5391
1,Simon Muran,S/A TEC,192,Key Mace,52,2.5391
1,Simon Muran,S/A TEC,197,Mech Mole Zombie,52,2.5391
1,Simon Muran,S/A TEC,202,Air Marmot of Nefariousness,52,2.5391
1,Simon Muran,S/A TEC,237,Haniwa,52,2.5391
1,Simon Muran,S/A TEC,238,Yashinoki,12,0.5859
1,Simon Muran,S/A TEC,289,Change Slime,52,2.5391
1,Simon Muran,S/A TEC,301,Legendary Sword,20,0.9766
1,Simon Muran,S/A TEC,313,Horn of Light,20,0.9766
1,Simon Muran,S/A TEC,314,Horn of the Unicorn,20,0.9766
1,Simon Muran,S/A TEC,333,Sogen,36,1.7578
1,Simon Muran,S/A TEC,336,Dark Hole,20,0.9766
1,Simon Muran,S/A TEC,349,Spellbinding Circle,36,1.7578
1,Simon Muran,S/A TEC,387,Mystic Lamp,52,2.5391
1,Simon Muran,S/A TEC,397,Leghul,52,2.5391
1,Simon Muran,S/A TEC,402,Monster Eye,52,2.5391
1,Simon Muran,S/A TEC,410,Mechanical Spider,52,2.5391
1,Simon Muran,S/A TEC,411,Bat,52,2.5391
1,Simon Muran,S/A TEC,422,Jinzo #7,52,2.5391
1,Simon Muran,S/A TEC,436,White Dolphin,52,2.5391
1,Simon Muran,S/A TEC,444,Turu-Purun,52,2.5391
1,Simon Muran,S/A TEC,469,Armed Ninja,52,2.5391
1,Simon Muran,S/A TEC,484,Ameba,52,2.5391
1,Simon Muran,S/A TEC,485,Korogashi,52,2.5391
1,Simon Muran,S/A TEC,488,Rainbow Flower,52,2.5391
1,Simon Muran,S/A TEC,504,Fungi of the Musk,52,2.5391
1,Simon Muran,S/A TEC,516,Muka Muka,52,2.5391
1,Simon Muran,S/A TEC,547,Griggle,52,2.5391
1,Simon Muran,S/A TEC,548,Bone Mouse,52,2.5391
1,Simon Muran,S/A TEC,558,Pot the Trick,52,2.5391
1,Simon Muran,S/A TEC,563,Wretched Ghost of the Attic,52,2.5391
1,Simon Muran,S/A TEC,635,Queen's Double,52,2.5391
1,Simon Muran,S/A TEC,676,Commencement Dance,20,0.9766
1,Simon Muran,S/A TEC,677,Hamburger Recipe,20,0.9766
1,Simon Muran,S/A TEC,681,House of Adhesive Tape,20,0.9766
1,Simon Muran,S/A TEC,682,Eatgaboon,20,0.9766
1,Simon Muran,S/A TEC,690,Fake Trap,20,0.9766
1,Simon Muran,deck,9,Shadow Specter,72,3.5156
1,Simon Muran,deck,17,Right Leg of the Forbidden One,1,0.0488
1,Simon Muran,deck,18,Left Leg of the Forbidden One,1,0.0488
1,Simon Muran,deck,19,Right Arm of the Forbidden One,1,0.0488
1,Simon Muran,deck,20,Left Arm of the Forbidden One,1,0.0488
1,Simon Muran,deck,21,Exodia the Forbidden,1,0.0488
1,Simon Muran,deck,24,Skull Servant,72,3.5156
1,Simon Muran,deck,58,Kuriboh,72,3.5156
1,Simon Muran,deck,123,Dark Plant,72,3.5156
1,Simon Muran,deck,167,Ancient Jar,80,3.9062
1,Simon Muran,deck,192,Key Mace,72,3.5156
1,Simon Muran,deck,289,Change Slime,72,3.5156
1,Simon Muran,deck,338,Mooyan Curry,48,2.3438
1,Simon Muran,deck,343,Sparks,100,4.8828
1,Simon Muran,deck,387,Mystic Lamp,72,3.5156
1,Simon Muran,deck,394,Steel Scorpion,80,3.9062
1,Simon Muran,deck,395,Dancing Elf,72,3.5156
1,Simon Muran,deck,397,Leghul,70,3.418
1,Simon Muran,deck,398,Ooguchi,80,3.9062
1,Simon Muran,deck,399,Swordsman from a Foreign Land,70,3.418
1,Simon Muran,deck,402,Monster Eye,80,3.9062
1,Simon Muran,deck,411,Bat,80,3.9062
1,Simon Muran,deck,428,Magician of Faith,75,3.6621
1,Simon Muran,deck,469,Armed Ninja,80,3.9062
1,Simon Muran,deck,475,Sinister Serpent,80,3.9062
1,Simon Muran,deck,484,Ameba,80,3.9062
1,Simon Muran,deck,499,Kattapillar,80,3.9062
1,Simon Muran,deck,504,Fungi of the Musk,72,3.5156
1,Simon Muran,deck,527,Milus Radiant,80,3.9062
1,Simon Muran,deck,547,Griggle,80,3.9062
1,Simon Muran,deck,548,Bone Mouse,72,3.5156
1,Simon Muran,deck,635,Queen's Double,80,3.9062
2,Teana,S/A POW,19,Right Arm of the Forbidden One,6,0.293
2,Teana,S/A POW,24,Skull Servant,180,8.7891
2,Teana,S/A POW,58,Kuriboh,180,8.7891
2,Teana,S/A POW,102,Mask of Darkness,12,0.5859
2,Teana,S/A POW,167,Ancient Jar,180,8.7891
2,Teana,S/A POW,302,Sword of Dark Destruction,16,0.7812
2,Teana,S/A POW,330,Forest,30,1.4648
2,Teana,S/A POW,393,Zone Eater,176,8.5938
2,Teana,S/A POW,395,Dancing Elf,176,8.5938
2,Teana,S/A POW,398,Ooguchi,176,8.5938
2,Teana,S/A POW,399,Swordsman from a Foreign Land,176,8.5938
2,Teana,S/A POW,402,Monster Eye,176,8.5938
2,Teana,S/A POW,469,Armed Ninja,176,8.5938
2,Teana,S/A POW,475,Sinister Serpent,176,8.5938
2,Teana,S/A POW,527,Milus Radiant,176,8.5938
2,Teana,S/A POW,543,Tongyo,12,0.5859
2,Teana,S/A POW,566,Yormungarde,12,0.5859
2,Teana,S/A POW,570,Trakadon,6,0.293
2,Teana,S/A POW,580,Patrol Robo,6,0.293
2,Teana,B/C/D,19,Right Arm of the Forbidden One,6,0.293
2,Teana,B/C/D,24,Skull Servant,180,8.7891
2,Teana,B/C/D,58,Kuriboh,180,8.7891
2,Teana,B/C/D,167,Ancient Jar,180,8.7891
2,Teana,B/C/D,302,Sword of Dark Destruction,16,0.7812
2,Teana,B/C/D,330,Forest,30,1.4648
2,Teana,B/C/D,393,Zone Eater,180,8.7891
2,Teana,B/C/D,395,Dancing Elf,178,8.6914
2,Teana,B/C/D,398,Ooguchi,178,8.6914
2,Teana,B/C/D,399,Swordsman from a Foreign Land,178,8.6914
2,Teana,B/C/D,402,Monster Eye,178,8.6914
2,Teana,B/C/D,469,Armed Ninja,178,8.6914
2,Teana,B/C/D,475,Sinister Serpent,178,8.6914
2,Teana,B/C/D,527,Milus Radiant,178,8.6914
2,Teana,B/C/D,681,House of Adhesive Tape,14,0.6836
2,Teana,B/C/D,690,Fake Trap,15,0.7324
2,Teana,B/C/D,699,Revival of Skeleton Rider,1,0.0488
2,Teana,S/A TEC,19,Right Arm of the Forbidden One,6,0.293
2,Teana,S/A TEC,24,Skull Servant,170,8.3008
2,Teana,S/A TEC,58,Kuriboh,170,8.3008
2,Teana,S/A TEC,167,Ancient Jar,168,8.2031
2,Teana,S/A TEC,302,Sword of Dark Destruction,16,0.7812
2,Teana,S/A TEC,312,Silver Bow and Arrow,15,0.7324
2,Teana,S/A TEC,313,Horn of Light,15,0.7324
2,Teana,S/A TEC,330,Forest,30,1.4648
2,Teana,S/A TEC,336,Dark Hole,15,0.7324
2,Teana,S/A TEC,345,Final Flame,15,0.7324
2,Teana,S/A TEC,350,Dark-piercing Light,30,1.4648
2,Teana,S/A TEC,393,Zone Eater,170,8.3008
2,Teana,S/A TEC,395,Dancing Elf,170,8.3008
2,Teana,S/A TEC,398,Ooguchi,170,8.3008
2,Teana,S/A TEC,399,Swordsman from a Foreign Land,170,8.3008
2,Teana,S/A TEC,402,Monster Eye,168,8.2031
2,Teana,S/A TEC,469,Armed Ninja,168,8.2031
2,Teana,S/A TEC,475,Sinister Serpent,168,8.2031
2,Teana,S/A TEC,527,Milus Radiant,168,8.2031
2,Teana,S/A TEC,681,House of Adhesive Tape,15,0.7324
2,Teana,S/A TEC,682,Eatgaboon,15,0.7324
2,Teana,S/A TEC,690,Fake Trap,15,0.7324
2,Teana,S/A TEC,699,Revival of Skeleton Rider,1,0.0488
2,Teana,deck,9,Shadow Specter,2,0.0977
2,Teana,deck,24,Skull Servant,300,14.6484
2,Teana,deck,56,Larvae Moth,2,0.0977
2,Teana,deck,58,Kuriboh,300,14.6484
2,Teana,deck,105,Tomozaurus,2,0.0977
2,Teana,deck,123,Dark Plant,2,0.0977
2,Teana,deck,167,Ancient Jar,2,0.0977
