material_a_id,material_a,material_b_id,material_b,result_id,result
2,Mystical Elf,130,Weather Control,582,Dark Witch
2,Mystical Elf,132,The 13th Grave,470,Magical Ghost
2,Mystical Elf,134,Mystical Capture Chain,582,Dark Witch
2,Mystical Elf,135,Fiend's Hand,470,Magical Ghost
2,Mystical Elf,136,Witty Phantom,551,Dark Elf
2,Mystical Elf,138,Dragon Statue,41,Celtic Guardian
2,Mystical Elf,139,Blue-eyed Silver Zombie,470,Magical Ghost
2,Mystical Elf,146,Temple of Skulls,551,Dark Elf
2,Mystical Elf,147,Monster Egg,41,Celtic Guardian
2,Mystical Elf,148,The Shadow Who Controls the Dark,551,Dark Elf
2,Mystical Elf,149,Lord of the Lamp,551,Dark Elf
2,Mystical Elf,151,Rhaimundos of the Red Sword,41,Celtic Guardian
2,Mystical Elf,153,Dokuroizo the Grim Reaper,470,Magical Ghost
2,Mystical Elf,154,Fire Reaper,470,Magical Ghost
2,Mystical Elf,156,Hard Armor,41,Celtic Guardian
2,Mystical Elf,157,Firegrass,638,Queen of Autumn Leaves
2,Mystical Elf,158,Man Eater,638,Queen of Autumn Leaves
2,Mystical Elf,160,M-warrior #1,41,Celtic Guardian
2,Mystical Elf,161,M-warrior #2,41,Celtic Guardian
2,Mystical Elf,164,Lord of Zemia,551,Dark Elf
2,Mystical Elf,166,Mysterious Puppeteer,41,Celtic Guardian
2,Mystical Elf,167,Ancient Jar,531,Mystical Sand
2,Mystical Elf,169,Dark King of the Abyss,551,Dark Elf
2,Mystical Elf,170,Spirit of the Harp,582,Dark Witch
2,Mystical Elf,172,Armaill,41,Celtic Guardian
2,Mystical Elf,173,Dark Prisoner,551,Dark Elf
2,Mystical Elf,175,Ancient Brain,551,Dark Elf
2,Mystical Elf,177,Monsturtle,449,"30,000-Year White Turtle"
2,Mystical Elf,178,Claw Reacher,551,Dark Elf
2,Mystical Elf,179,Phantom Dewan,551,Dark Elf
2,Mystical Elf,180,Arlownay,638,Queen of Autumn Leaves
2,Mystical Elf,182,Masked Clown,551,Dark Elf
2,Mystical Elf,185,Eyearmor,41,Celtic Guardian
2,Mystical Elf,188,Synchar,627,Nekogal #2
2,Mystical Elf,189,Fusionist,627,Nekogal #2
2,Mystical Elf,190,Akakieisu,551,Dark Elf
2,Mystical Elf,191,LaLa Li-oon,462,The Immortal of Thunder
2,Mystical Elf,192,Key Mace,582,Dark Witch
2,Mystical Elf,193,Turtle Tiger,449,"30,000-Year White Turtle"
2,Mystical Elf,195,Doron,41,Celtic Guardian
2,Mystical Elf,197,Mech Mole Zombie,470,Magical Ghost
2,Mystical Elf,198,Happy Lover,582,Dark Witch
2,Mystical Elf,201,Frenzied Panda,627,Nekogal #2
2,Mystical Elf,202,Air Marmot of Nefariousness,627,Nekogal #2
2,Mystical Elf,203,Phantom Ghost,470,Magical Ghost
2,Mystical Elf,208,Petit Angel,582,Dark Witch
2,Mystical Elf,211,Kaminarikozou,462,The Immortal of Thunder
2,Mystical Elf,214,Kagemusha of the Blue Flame,41,Celtic Guardian
2,Mystical Elf,215,Flame Ghost,470,Magical Ghost
2,Mystical Elf,220,Masked Sorcerer,551,Dark Elf
2,Mystical Elf,224,Trap Master,551,Dark Elf
2,Mystical Elf,226,Skull Stalker,41,Celtic Guardian
2,Mystical Elf,228,Wood Remains,470,Magical Ghost
2,Mystical Elf,229,Hourglass of Life,582,Dark Witch
2,Mystical Elf,231,Wood Clown,551,Dark Elf
2,Mystical Elf,233,Dark Titan of Terror,551,Dark Elf
2,Mystical Elf,234,Beautiful Headhuntress,551,Dark Elf
2,Mystical Elf,235,Wodan the Resident of the Forest,41,Celtic Guardian
2,Mystical Elf,236,Guardian of the Labyrinth,551,Dark Elf
2,Mystical Elf,237,Haniwa,531,Mystical Sand
2,Mystical Elf,238,Yashinoki,638,Queen of Autumn Leaves
2,Mystical Elf,239,Vishwar Randi,551,Dark Elf
2,Mystical Elf,241,Dark Assailant,470,Magical Ghost
2,Mystical Elf,244,Dissolverock,531,Mystical Sand
2,Mystical Elf,247,Root Water,431,Ice Water
2,Mystical Elf,248,Master & Expert,627,Nekogal #2
2,Mystical Elf,250,Hyo,41,Celtic Guardian
2,Mystical Elf,251,Enchanting Mermaid,626,Amazon of the Seas
2,Mystical Elf,253,Angelwitch,551,Dark Elf
2,Mystical Elf,255,Prevent Rat,627,Nekogal #2
2,Mystical Elf,256,Dimensional Warrior,41,Celtic Guardian
2,Mystical Elf,257,Stone Armadiller,531,Mystical Sand
2,Mystical Elf,259,Ancient Sorcerer,551,Dark Elf
2,Mystical Elf,260,Lunar Queen Elzaim,582,Dark Witch
2,Mystical Elf,262,The Little Swordsman of Aile,41,Celtic Guardian
2,Mystical Elf,263,Rock Ogre Grotto #2,531,Mystical Sand
2,Mystical Elf,264,Wing Egg Elf,582,Dark Witch
2,Mystical Elf,266,Princess of Tsurugi,41,Celtic Guardian
2,Mystical Elf,267,Unknown Warrior of Fiend,551,Dark Elf
2,Mystical Elf,268,Sectarian of Secrets,551,Dark Elf
2,Mystical Elf,269,Versago the Destroyer,551,Dark Elf
2,Mystical Elf,271,Megirus Light,551,Dark Elf
2,Mystical Elf,273,Ancient Tree of Enlightenment,638,Queen of Autumn Leaves
2,Mystical Elf,274,Green Phantom King,638,Queen of Autumn Leaves
2,Mystical Elf,276,Ray & Temperature,582,Dark Witch
2,Mystical Elf,279,King Fog,551,Dark Elf
2,Mystical Elf,280,Protector of the Throne,41,Celtic Guardian
2,Mystical Elf,281,Mystic Clown,551,Dark Elf
2,Mystical Elf,282,Mystical Sheep #2,627,Nekogal #2
2,Mystical Elf,286,Gatekeeper,551,Dark Elf
2,Mystical Elf,288,Dark Artist,551,Dark Elf
2,Mystical Elf,290,Moon Envoy,41,Celtic Guardian
2,Mystical Elf,293,Masaki the Legendary Swordsman,41,Celtic Guardian
2,Mystical Elf,294,Dragoness the Wicked Knight,41,Celtic Guardian
2,Mystical Elf,299,Sonic Maid,41,Celtic Guardian
2,Mystical Elf,354,Stuffed Animal,41,Celtic Guardian
2,Mystical Elf,359,Three-legged Zombies,470,Magical Ghost
2,Mystical Elf,362,Millennium Shield,41,Celtic Guardian
2,Mystical Elf,366,Labyrinth Wall,531,Mystical Sand
2,Mystical Elf,379,La Jinn the Mystical Genie,551,Dark Elf
2,Mystical Elf,387,Mystic Lamp,551,Dark Elf
2,Mystical Elf,388,Pendulum Machine,551,Dark Elf
2,Mystical Elf,395,Dancing Elf,582,Dark Witch
2,Mystical Elf,396,Ocubeam,582,Dark Witch
2,Mystical Elf,399,Swordsman from a Foreign Land,41,Celtic Guardian
2,Mystical Elf,403,Leogun,627,Nekogal #2
2,Mystical Elf,425,Thunder Dragon,458,Kaminari Attack
2,Mystical Elf,426,Stone D.,531,Mystical Sand
2,Mystical Elf,429,Goddess of Whim,582,Dark Witch
2,Mystical Elf,436,White Dolphin,431,Ice Water
2,Mystical Elf,448,Spike Seadra,458,Kaminari Attack
2,Mystical Elf,453,Millennium Golem,531,Mystical Sand
2,Mystical Elf,454,Destroyer Golem,531,Mystical Sand
2,Mystical Elf,455,Barrel Rock,531,Mystical Sand
2,Mystical Elf,456,Minomushi Warrior,531,Mystical Sand
2,Mystical Elf,457,Stone Ghost,531,Mystical Sand
2,Mystical Elf,459,Tripwire Beast,462,The Immortal of Thunder
2,Mystical Elf,460,Bolt Escargot,462,The Immortal of Thunder
2,Mystical Elf,461,Bolt Penguin,462,The Immortal of Thunder
2,Mystical Elf,462,The Immortal of Thunder,458,Kaminari Attack
2,Mystical Elf,463,Electric Snake,462,The Immortal of Thunder
2,Mystical Elf,469,Armed Ninja,41,Celtic Guardian
2,Mystical Elf,481,Burglar,627,Nekogal #2
2,Mystical Elf,487,Flower Wolf,627,Nekogal #2
2,Mystical Elf,488,Rainbow Flower,638,Queen of Autumn Leaves
2,Mystical Elf,489,Barrel Lily,638,Queen of Autumn Leaves
2,Mystical Elf,492,Hoshiningen,582,Dark Witch
2,Mystical Elf,502,D. Human,41,Celtic Guardian
2,Mystical Elf,503,Turtle Raccoon,449,"30,000-Year White Turtle"
2,Mystical Elf,505,Prisman,531,Mystical Sand
2,Mystical Elf,510,Laughing Flower,638,Queen of Autumn Leaves
2,Mystical Elf,511,Bean Soldier,638,Queen of Autumn Leaves
2,Mystical Elf,515,The Statue of Easter Island,531,Mystical Sand
2,Mystical Elf,516,Muka Muka,531,Mystical Sand
2,Mystical Elf,517,Sand Stone,531,Mystical Sand
2,Mystical Elf,527,Milus Radiant,627,Nekogal #2
2,Mystical Elf,528,Togex,627,Nekogal #2
2,Mystical Elf,530,Eldeen,551,Dark Elf
2,Mystical Elf,537,Mega Thunderball,462,The Immortal of Thunder
2,Mystical Elf,539,Corroding Shark,470,Magical Ghost
2,Mystical Elf,540,Skelengel,582,Dark Witch
2,Mystical Elf,546,Wow Warrior,626,Amazon of the Seas
2,Mystical Elf,547,Griggle,638,Queen of Autumn Leaves
2,Mystical Elf,548,Bone Mouse,470,Magical Ghost
2,Mystical Elf,553,Mushroom Man #2,41,Celtic Guardian
2,Mystical Elf,554,Lava Battleguard,551,Dark Elf
2,Mystical Elf,556,The Wandering Doomed,470,Magical Ghost
2,Mystical Elf,558,Pot the Trick,531,Mystical Sand
2,Mystical Elf,559,Oscillo Hero,41,Celtic Guardian
2,Mystical Elf,563,Wretched Ghost of the Attic,551,Dark Elf
2,Mystical Elf,567,Darkworld Thorns,638,Queen of Autumn Leaves
2,Mystical Elf,574,Witch of the Black Forest,551,Dark Elf
2,Mystical Elf,575,Ancient One of the Deep Forest,627,Nekogal #2
2,Mystical Elf,578,Leo Wizard,551,Dark Elf
2,Mystical Elf,579,Abyss Flower,638,Queen of Autumn Leaves
2,Mystical Elf,584,Binding Chain,582,Dark Witch
2,Mystical Elf,586,Greenkappa,41,Celtic Guardian
2,Mystical Elf,588,Living Vase,638,Queen of Autumn Leaves
2,Mystical Elf,589,Tentacle Plant,638,Queen of Autumn Leaves
2,Mystical Elf,591,Morphing Jar,531,Mystical Sand
2,Mystical Elf,592,Muse-A,582,Dark Witch
2,Mystical Elf,597,Pale Beast,627,Nekogal #2
2,Mystical Elf,598,Little Chimera,627,Nekogal #2
2,Mystical Elf,600,Key Mace #2,551,Dark Elf
2,Mystical Elf,601,Tenderness,582,Dark Witch
2,Mystical Elf,604,Obese Marmot of Nefariousness,627,Nekogal #2
2,Mystical Elf,608,Shining Friendship,582,Dark Witch
2,Mystical Elf,610,Electric Lizard,462,The Immortal of Thunder
2,Mystical Elf,616,Hourglass of Courage,582,Dark Witch
2,Mystical Elf,618,Warrior of Tradition,551,Dark Elf
2,Mystical Elf,620,Snakeyashi,638,Queen of Autumn Leaves
2,Mystical Elf,621,Succubus Knight,551,Dark Elf
2,Mystical Elf,623,The Thing That Hides in the Mud,531,Mystical Sand
2,Mystical Elf,628,Witch's Apprentice,551,Dark Elf
2,Mystical Elf,629,Armored Rat,627,Nekogal #2
2,Mystical Elf,632,Stone Ogre Grotto,531,Mystical Sand
2,Mystical Elf,633,Winged Egg of New Life,582,Dark Witch
2,Mystical Elf,635,Queen's Double,41,Celtic Guardian
2,Mystical Elf,637,Trent,638,Queen of Autumn Leaves
2,Mystical Elf,641,Invader of the Throne,41,Celtic Guardian
2,Mystical Elf,642,Mystical Sheep #1,627,Nekogal #2
2,Mystical Elf,649,Hibikime,551,Dark Elf
3,Hitotsu-me Giant,4,Baby Dragon,31,Koumori Dragon
3,Hitotsu-me Giant,7,Winged Dragon #1,31,Koumori Dragon
3,Hitotsu-me Giant,122,Yamatano Dragon Scroll,31,Koumori Dragon
3,Hitotsu-me Giant,138,Dragon Statue,31,Koumori Dragon
3,Hitotsu-me Giant,200,Petit Dragon,31,Koumori Dragon
3,Hitotsu-me Giant,280,Protector of the Throne,641,Invader of the Throne
3,Hitotsu-me Giant,296,One-eyed Shield Dragon,31,Koumori Dragon
3,Hitotsu-me Giant,298,Wicked Dragon with the Ersatz Head,31,Koumori Dragon
3,Hitotsu-me Giant,561,Lesser Dragon,31,Koumori Dragon
3,Hitotsu-me Giant,603,Fairy Dragon,31,Koumori Dragon
4,Baby Dragon,6,Feral Imp,31,Koumori Dragon
4,Baby Dragon,8,Mushroom Man,571,B. Dragon Jungle King
4,Baby Dragon,9,Shadow Specter,97,Dragon Zombie
4,Baby Dragon,16,Time Wizard,69,Thousand Dragon
4,Baby Dragon,17,Right Leg of the Forbidden One,10,Blackland Fire Dragon
4,Baby Dragon,18,Left Leg of the Forbidden One,10,Blackland Fire Dragon
4,Baby Dragon,19,Right Arm of the Forbidden One,10,Blackland Fire Dragon
4,Baby Dragon,20,Left Arm of the Forbidden One,10,Blackland Fire Dragon
4,Baby Dragon,21,Exodia the Forbidden,10,Blackland Fire Dragon
4,Baby Dragon,24,Skull Servant,97,Dragon Zombie
4,Baby Dragon,25,Horn Imp,31,Koumori Dragon
4,Baby Dragon,28,Rock Ogre Grotto #1,426,Stone D.
4,Baby Dragon,30,Zombie Warrior,97,Dragon Zombie
4,Baby Dragon,34,Saggi the Dark Clown,10,Blackland Fire Dragon
4,Baby Dragon,36,The Snake Hair,97,Dragon Zombie
4,Baby Dragon,41,Celtic Guardian,11,Sword Arm of Dragon
4,Baby Dragon,43,Karbonala Warrior,11,Sword Arm of Dragon
4,Baby Dragon,45,Oscillo Hero #2,425,Thunder Dragon
4,Baby Dragon,48,Sangan,31,Koumori Dragon
4,Baby Dragon,58,Kuriboh,31,Koumori Dragon
4,Baby Dragon,59,Mammoth Graveyard,31,Koumori Dragon
4,Baby Dragon,62,Harpie Lady,386,Harpie's Pet Dragon
4,Baby Dragon,66,Kojikocy,11,Sword Arm of Dragon
4,Baby Dragon,70,Fiend Kraken,448,Spike Seadra
4,Baby Dragon,71,Jellyfish,448,Spike Seadra
4,Baby Dragon,74,Giant Soldier of Stone,426,Stone D.
4,Baby Dragon,75,Man-eating Plant,571,B. Dragon Jungle King
4,Baby Dragon,78,Axe Raider,11,Sword Arm of Dragon
4,Baby Dragon,83,Castle of Dark Illusions,10,Blackland Fire Dragon
4,Baby Dragon,84,Reaper of the Cards,31,Koumori Dragon
4,Baby Dragon,88,Metal Guardian,31,Koumori Dragon
4,Baby Dragon,89,Catapult Turtle,448,Spike Seadra
4,Baby Dragon,93,Zanki,11,Sword Arm of Dragon
4,Baby Dragon,96,Armored Zombie,97,Dragon Zombie
4,Baby Dragon,97,Dragon Zombie,545,Skelgon
4,Baby Dragon,98,Clown Zombie,97,Dragon Zombie
4,Baby Dragon,99,Pumpking the King of Ghosts,39,Curse of Dragon
4,Baby Dragon,100,Battle Warrior,502,D. Human
4,Baby Dragon,102,Mask of Darkness,10,Blackland Fire Dragon
4,Baby Dragon,103,Job-change Mirror,10,Blackland Fire Dragon
4,Baby Dragon,104,Curtain of the Dark Ones,10,Blackland Fire Dragon
4,Baby Dragon,107,Kageningen,502,D. Human
4,Baby Dragon,108,Graveyard and the Hand of Invitation,97,Dragon Zombie
4,Baby Dragon,110,Hero of the East,502,D. Human
4,Baby Dragon,112,That Which Feeds on Life,10,Blackland Fire Dragon
4,Baby Dragon,115,Kamion Wizard,10,Blackland Fire Dragon
4,Baby Dragon,118,Supporter in the Shadows,502,D. Human
4,Baby Dragon,119,Trial of Nightmares,31,Koumori Dragon
4,Baby Dragon,120,Dream Clown,502,D. Human
4,Baby Dragon,123,Dark Plant,571,B. Dragon Jungle King
4,Baby Dragon,124,Ancient Tool,409,Metal Dragon
4,Baby Dragon,127,Ansatsu,11,Sword Arm of Dragon
4,Baby Dragon,129,Nemuriko,10,Blackland Fire Dragon
4,Baby Dragon,131,Octoberser,73,Kairyu-shin
4,Baby Dragon,132,The 13th Grave,97,Dragon Zombie
4,Baby Dragon,135,Fiend's Hand,97,Dragon Zombie
4,Baby Dragon,136,Witty Phantom,10,Blackland Fire Dragon
4,Baby Dragon,137,Mystery Hand,31,Koumori Dragon
4,Baby Dragon,138,Dragon Statue,502,D. Human
4,Baby Dragon,139,Blue-eyed Silver Zombie,97,Dragon Zombie
4,Baby Dragon,140,Toad Master,448,Spike Seadra
4,Baby Dragon,141,Spiked Snail,31,Koumori Dragon
4,Baby Dragon,146,Temple of Skulls,97,Dragon Zombie
4,Baby Dragon,147,Monster Egg,502,D. Human
4,Baby Dragon,148,The Shadow Who Controls the Dark,10,Blackland Fire Dragon
4,Baby Dragon,149,Lord of the Lamp,10,Blackland Fire Dragon
4,Baby Dragon,150,Akihiron,73,Kairyu-shin
4,Baby Dragon,151,Rhaimundos of the Red Sword,502,D. Human
4,Baby Dragon,152,The Melting Red Shadow,448,Spike Seadra
4,Baby Dragon,153,Dokuroizo the Grim Reaper,97,Dragon Zombie
4,Baby Dragon,154,Fire Reaper,97,Dragon Zombie
4,Baby Dragon,156,Hard Armor,502,D. Human
4,Baby Dragon,157,Firegrass,571,B. Dragon Jungle King
4,Baby Dragon,158,Man Eater,571,B. Dragon Jungle King
4,Baby Dragon,160,M-warrior #1,502,D. Human
4,Baby Dragon,161,M-warrior #2,502,D. Human
4,Baby Dragon,162,Tainted Wisdom,31,Koumori Dragon
4,Baby Dragon,164,Lord of Zemia,10,Blackland Fire Dragon
4,Baby Dragon,165,The Judgement Hand,11,Sword Arm of Dragon
4,Baby Dragon,166,Mysterious Puppeteer,502,D. Human
4,Baby Dragon,167,Ancient Jar,426,Stone D.
4,Baby Dragon,169,Dark King of the Abyss,10,Blackland Fire Dragon
4,Baby Dragon,172,Armaill,502,D. Human
4,Baby Dragon,173,Dark Prisoner,10,Blackland Fire Dragon
4,Baby Dragon,175,Ancient Brain,10,Blackland Fire Dragon
4,Baby Dragon,177,Monsturtle,448,Spike Seadra
4,Baby Dragon,178,Claw Reacher,10,Blackland Fire Dragon
4,Baby Dragon,179,Phantom Dewan,10,Blackland Fire Dragon
4,Baby Dragon,180,Arlownay,571,B. Dragon Jungle King
4,Baby Dragon,182,Masked Clown,502,D. Human
4,Baby Dragon,185,Eyearmor,502,D. Human
4,Baby Dragon,187,Gate Deeg,31,Koumori Dragon
4,Baby Dragon,190,Akakieisu,10,Blackland Fire Dragon
4,Baby Dragon,191,LaLa Li-oon,425,Thunder Dragon
4,Baby Dragon,193,Turtle Tiger,448,Spike Seadra
4,Baby Dragon,194,Terra the Terrible,31,Koumori Dragon
4,Baby Dragon,195,Doron,502,D. Human
4,Baby Dragon,196,Arma Knight,448,Spike Seadra
4,Baby Dragon,197,Mech Mole Zombie,97,Dragon Zombie
4,Baby Dragon,199,Penguin Knight,448,Spike Seadra
4,Baby Dragon,202,Air Marmot of Nefariousness,31,Koumori Dragon
4,Baby Dragon,203,Phantom Ghost,97,Dragon Zombie
4,Baby Dragon,205,Dorover,448,Spike Seadra
4,Baby Dragon,206,Twin Long Rods #1,448,Spike Seadra
4,Baby Dragon,211,Kaminarikozou,425,Thunder Dragon
4,Baby Dragon,212,Meotoko,31,Koumori Dragon
4,Baby Dragon,214,Kagemusha of the Blue Flame,502,D. Human
4,Baby Dragon,215,Flame Ghost,97,Dragon Zombie
4,Baby Dragon,218,Two-mouth Darkruler,31,Koumori Dragon
4,Baby Dragon,219,Solitude,31,Koumori Dragon
4,Baby Dragon,220,Masked Sorcerer,10,Blackland Fire Dragon
4,Baby Dragon,222,Midnight Fiend,31,Koumori Dragon
4,Baby Dragon,224,Trap Master,502,D. Human
4,Baby Dragon,225,Fiend Sword,11,Sword Arm of Dragon
4,Baby Dragon,226,Skull Stalker,502,D. Human
4,Baby Dragon,227,Hitodenchak,448,Spike Seadra
4,Baby Dragon,228,Wood Remains,97,Dragon Zombie
4,Baby Dragon,231,Wood Clown,502,D. Human
4,Baby Dragon,232,Madjinn Gunn,31,Koumori Dragon
4,Baby Dragon,233,Dark Titan of Terror,10,Blackland Fire Dragon
4,Baby Dragon,234,Beautiful Headhuntress,11,Sword Arm of Dragon
4,Baby Dragon,235,Wodan the Resident of the Forest,502,D. Human
4,Baby Dragon,236,Guardian of the Labyrinth,502,D. Human
4,Baby Dragon,237,Haniwa,426,Stone D.
4,Baby Dragon,238,Yashinoki,571,B. Dragon Jungle King
4,Baby Dragon,239,Vishwar Randi,502,D. Human
4,Baby Dragon,240,The Drdek,31,Koumori Dragon
4,Baby Dragon,241,Dark Assailant,97,Dragon Zombie
4,Baby Dragon,243,Water Element,448,Spike Seadra
4,Baby Dragon,244,Dissolverock,426,Stone D.
4,Baby Dragon,245,Meda Bat,31,Koumori Dragon
4,Baby Dragon,246,One Who Hunts Souls,31,Koumori Dragon
4,Baby Dragon,249,Water Omotics,448,Spike Seadra
4,Baby Dragon,250,Hyo,502,D. Human
4,Baby Dragon,253,Angelwitch,10,Blackland Fire Dragon
4,Baby Dragon,254,Embryonic Beast,31,Koumori Dragon
4,Baby Dragon,256,Dimensional Warrior,502,D. Human
4,Baby Dragon,257,Stone Armadiller,426,Stone D.
4,Baby Dragon,258,Beastking of the Swamps,448,Spike Seadra
4,Baby Dragon,259,Ancient Sorcerer,10,Blackland Fire Dragon
4,Baby Dragon,262,The Little Swordsman of Aile,502,D. Human
4,Baby Dragon,263,Rock Ogre Grotto #2,426,Stone D.
4,Baby Dragon,265,The Furious Sea King,448,Spike Seadra
4,Baby Dragon,266,Princess of Tsurugi,502,D. Human
4,Baby Dragon,267,Unknown Warrior of Fiend,502,D. Human
4,Baby Dragon,268,Sectarian of Secrets,10,Blackland Fire Dragon
4,Baby Dragon,269,Versago the Destroyer,10,Blackland Fire Dragon
4,Baby Dragon,270,Wetha,448,Spike Seadra
4,Baby Dragon,271,Megirus Light,10,Blackland Fire Dragon
4,Baby Dragon,273,Ancient Tree of Enlightenment,571,B. Dragon Jungle King
4,Baby Dragon,274,Green Phantom King,571,B. Dragon Jungle King
4,Baby Dragon,275,Ground Attacker Bugroth,409,Metal Dragon
4,Baby Dragon,277,Gorgon Egg,31,Koumori Dragon
4,Baby Dragon,279,King Fog,10,Blackland Fire Dragon
4,Baby Dragon,280,Protector of the Throne,502,D. Human
4,Baby Dragon,283,Holograh,409,Metal Dragon
4,Baby Dragon,286,Gatekeeper,409,Metal Dragon
4,Baby Dragon,287,Ogre of the Black Shadow,31,Koumori Dragon
4,Baby Dragon,288,Dark Artist,10,Blackland Fire Dragon
4,Baby Dragon,289,Change Slime,448,Spike Seadra
4,Baby Dragon,290,Moon Envoy,502,D. Human
4,Baby Dragon,292,Psychic Kappa,448,Spike Seadra
4,Baby Dragon,293,Masaki the Legendary Swordsman,502,D. Human
4,Baby Dragon,294,Dragoness the Wicked Knight,502,D. Human
4,Baby Dragon,297,Cyber Soldier of Darkworld,409,Metal Dragon
4,Baby Dragon,298,Wicked Dragon with the Ersatz Head,31,Koumori Dragon
4,Baby Dragon,299,Sonic Maid,502,D. Human
4,Baby Dragon,351,Yaranzo,97,Dragon Zombie
4,Baby Dragon,352,Kanan the Swordmistress,11,Sword Arm of Dragon
4,Baby Dragon,354,Stuffed Animal,502,D. Human
4,Baby Dragon,355,Megasonic Eye,409,Metal Dragon
4,Baby Dragon,359,Three-legged Zombies,97,Dragon Zombie
4,Baby Dragon,361,Flying Penguin,448,Spike Seadra
4,Baby Dragon,362,Millennium Shield,502,D. Human
4,Baby Dragon,366,Labyrinth Wall,426,Stone D.
4,Baby Dragon,368,Shadow Ghoul,545,Skelgon
4,Baby Dragon,369,Wall Shadow,11,Sword Arm of Dragon
4,Baby Dragon,371,Sanga of the Thunder,613,Twin-headed Thunder Dragon
4,Baby Dragon,384,Dark Rabbit,31,Koumori Dragon
4,Baby Dragon,387,Mystic Lamp,10,Blackland Fire Dragon
4,Baby Dragon,388,Pendulum Machine,409,Metal Dragon
4,Baby Dragon,393,Zone Eater,448,Spike Seadra
4,Baby Dragon,394,Steel Scorpion,409,Metal Dragon
4,Baby Dragon,398,Ooguchi,448,Spike Seadra
4,Baby Dragon,399,Swordsman from a Foreign Land,502,D. Human
4,Baby Dragon,402,Monster Eye,31,Koumori Dragon
4,Baby Dragon,405,Saber Slasher,409,Metal Dragon
4,Baby Dragon,406,Yaiba Robo,409,Metal Dragon
4,Baby Dragon,408,Giant Mech-soldier,409,Metal Dragon
4,Baby Dragon,410,Mechanical Spider,409,Metal Dragon
4,Baby Dragon,411,Bat,409,Metal Dragon
4,Baby Dragon,412,Giga-tech Wolf,409,Metal Dragon
4,Baby Dragon,413,Cyber Soldier,409,Metal Dragon
4,Baby Dragon,414,Shovel Crusher,409,Metal Dragon
4,Baby Dragon,416,Blocker,409,Metal Dragon
4,Baby Dragon,417,Blast Juggler,409,Metal Dragon
4,Baby Dragon,418,Golgoil,409,Metal Dragon
4,Baby Dragon,419,Giganto,409,Metal Dragon
4,Baby Dragon,420,Cyber-Stein,409,Metal Dragon
4,Baby Dragon,421,Cyber Commander,409,Metal Dragon
4,Baby Dragon,422,Jinzo #7,409,Metal Dragon
4,Baby Dragon,423,Dice Armadillo,409,Metal Dragon
4,Baby Dragon,425,Thunder Dragon,613,Twin-headed Thunder Dragon
4,Baby Dragon,430,Water Magician,448,Spike Seadra
4,Baby Dragon,431,Ice Water,448,Spike Seadra
