equip_id,equip,monster_id,monster
303,Dark Energy,38,Gaia the Fierce Knight
303,Dark Energy,40,Dragon Piper
303,Dark Energy,42,Illusionist Faceless Mage
303,Dark Energy,45,Oscillo Hero #2
303,Dark Energy,48,Sangan
303,Dark Energy,58,Kuriboh
303,Dark Energy,65,Silver Fang
303,Dark Energy,66,Kojikocy
303,Dark Energy,75,Man-eating Plant
303,Dark Energy,76,Krokodilus
303,Dark Energy,81,Crawling Dragon #2
303,Dark Energy,83,Castle of Dark Illusions
303,Dark Energy,84,Reaper of the Cards
303,Dark Energy,85,King of Yamimakai
303,Dark Energy,86,Barox
303,Dark Energy,87,Dark Chimera
303,Dark Energy,88,Metal Guardian
303,Dark Energy,95,Crass Clown
303,Dark Energy,96,Armored Zombie
303,Dark Energy,97,Dragon Zombie
303,Dark Energy,98,Clown Zombie
303,Dark Energy,99,Pumpking the King of Ghosts
303,Dark Energy,101,Wings of Wicked Flame
303,Dark Energy,102,Mask of Darkness
303,Dark Energy,103,Job-change Mirror
303,Dark Energy,104,Curtain of the Dark Ones
303,Dark Energy,105,Tomozaurus
303,Dark Energy,107,Kageningen
303,Dark Energy,108,Graveyard and the Hand of Invitation
303,Dark Energy,111,Doma The Angel of Silence
303,Dark Energy,112,That Which Feeds on Life
303,Dark Energy,113,Dark Gray
303,Dark Energy,115,Kamion Wizard
303,Dark Energy,116,Nightmare Scorpion
303,Dark Energy,119,Trial of Nightmares
303,Dark Energy,123,Dark Plant
303,Dark Energy,124,Ancient Tool
303,Dark Energy,127,Ansatsu
303,Dark Energy,132,The 13th Grave
303,Dark Energy,135,Fiend's Hand
303,Dark Energy,136,Witty Phantom
303,Dark Energy,137,Mystery Hand
303,Dark Energy,139,Blue-eyed Silver Zombie
303,Dark Energy,141,Spiked Snail
303,Dark Energy,142,Flame Manipulator
303,Dark Energy,143,Necrolancer the Timelord
303,Dark Energy,146,Temple of Skulls
303,Dark Energy,148,The Shadow Who Controls the Dark
303,Dark Energy,149,Lord of the Lamp
303,Dark Energy,150,Akihiron
303,Dark Energy,152,The Melting Red Shadow
303,Dark Energy,153,Dokuroizo the Grim Reaper
303,Dark Energy,154,Fire Reaper
303,Dark Energy,155,Larvas
303,Dark Energy,158,Man Eater
303,Dark Energy,162,Tainted Wisdom
303,Dark Energy,164,Lord of Zemia
303,Dark Energy,167,Ancient Jar
303,Dark Energy,168,Darkfire Dragon
303,Dark Energy,169,Dark King of the Abyss
303,Dark Energy,171,Big Eye
303,Dark Energy,173,Dark Prisoner
303,Dark Energy,174,Hurricail
303,Dark Energy,175,Ancient Brain
303,Dark Energy,176,Fire Eye
303,Dark Energy,178,Claw Reacher
303,Dark Energy,179,Phantom Dewan
303,Dark Energy,181,Dark Shade
303,Dark Energy,182,Masked Clown
303,Dark Energy,185,Eyearmor
303,Dark Energy,187,Gate Deeg
303,Dark Energy,188,Synchar
303,Dark Energy,190,Akakieisu
303,Dark Energy,194,Terra the Terrible
303,Dark Energy,195,Doron
303,Dark Energy,197,Mech Mole Zombie
303,Dark Energy,201,Frenzied Panda
303,Dark Energy,202,Air Marmot of Nefariousness
303,Dark Energy,203,Phantom Ghost
303,Dark Energy,204,Mabarrel
303,Dark Energy,205,Dorover
303,Dark Energy,206,Twin Long Rods #1
303,Dark Energy,209,Winged Cleaver
303,Dark Energy,210,Hinotama Soul
303,Dark Energy,212,Meotoko
303,Dark Energy,213,Aqua Madoor
303,Dark Energy,214,Kagemusha of the Blue Flame
303,Dark Energy,215,Flame Ghost
303,Dark Energy,218,Two-mouth Darkruler
303,Dark Energy,219,Solitude
303,Dark Energy,220,Masked Sorcerer
303,Dark Energy,221,Kumootoko
303,Dark Energy,222,Midnight Fiend
303,Dark Energy,223,Roaring Ocean Snake
303,Dark Energy,224,Trap Master
303,Dark Energy,225,Fiend Sword
303,Dark Energy,226,Skull Stalker
303,Dark Energy,228,Wood Remains
303,Dark Energy,231,Wood Clown
303,Dark Energy,232,Madjinn Gunn
303,Dark Energy,233,Dark Titan of Terror
303,Dark Energy,234,Beautiful Headhuntress
303,Dark Energy,236,Guardian of the Labyrinth
303,Dark Energy,239,Vishwar Randi
303,Dark Energy,240,The Drdek
303,Dark Energy,241,Dark Assailant
303,Dark Energy,242,Candle of Fate
303,Dark Energy,245,Meda Bat
303,Dark Energy,246,One Who Hunts Souls
303,Dark Energy,248,Master & Expert
303,Dark Energy,253,Angelwitch
303,Dark Energy,254,Embryonic Beast
303,Dark Energy,256,Dimensional Warrior
303,Dark Energy,258,Beastking of the Swamps
303,Dark Energy,259,Ancient Sorcerer
303,Dark Energy,261,Wicked Mirror
303,Dark Energy,267,Unknown Warrior of Fiend
303,Dark Energy,268,Sectarian of Secrets
303,Dark Energy,269,Versago the Destroyer
303,Dark Energy,271,Megirus Light
303,Dark Energy,277,Gorgon Egg
303,Dark Energy,279,King Fog
303,Dark Energy,281,Mystic Clown
303,Dark Energy,283,Holograh
303,Dark Energy,284,Tao the Chanter
303,Dark Energy,285,Serpent Marauder
303,Dark Energy,286,Gatekeeper
303,Dark Energy,287,Ogre of the Black Shadow
303,Dark Energy,288,Dark Artist
303,Dark Energy,291,Fireyarou
303,Dark Energy,293,Masaki the Legendary Swordsman
303,Dark Energy,294,Dragoness the Wicked Knight
303,Dark Energy,295,Bio Plant
303,Dark Energy,297,Cyber Soldier of Darkworld
303,Dark Energy,298,Wicked Dragon with the Ersatz Head
303,Dark Energy,351,Yaranzo
303,Dark Energy,355,Megasonic Eye
303,Dark Energy,359,Three-legged Zombies
303,Dark Energy,360,Zera The Mant
303,Dark Energy,362,Millennium Shield
303,Dark Energy,364,Black Luster Soldier
303,Dark Energy,365,Fiend's Mirror
303,Dark Energy,367,Jirai Gumo
303,Dark Energy,368,Shadow Ghoul
303,Dark Energy,369,Wall Shadow
303,Dark Energy,370,Labyrinth Tank
303,Dark Energy,371,Sanga of the Thunder
303,Dark Energy,372,Kazejin
303,Dark Energy,373,Suijin
303,Dark Energy,374,Gate Guardian
303,Dark Energy,376,Monster Tamer
303,Dark Energy,377,Ryu-kishin Powered
303,Dark Energy,378,Swordstalker
303,Dark Energy,379,La Jinn the Mystical Genie
303,Dark Energy,382,Rude Kaiser
303,Dark Energy,384,Dark Rabbit
303,Dark Energy,385,Bickuribox
303,Dark Energy,386,Harpie's Pet Dragon
303,Dark Energy,388,Pendulum Machine
303,Dark Energy,390,Launcher Spider
303,Dark Energy,391,Zoa
303,Dark Energy,392,Metalzoa
303,Dark Energy,400,Emperor of the Land and Sea
303,Dark Energy,401,Ushi Oni
303,Dark Energy,402,Monster Eye
303,Dark Energy,405,Saber Slasher
303,Dark Energy,407,Machine King
303,Dark Energy,408,Giant Mech-soldier
303,Dark Energy,410,Mechanical Spider
303,Dark Energy,412,Giga-tech Wolf
303,Dark Energy,414,Shovel Crusher
303,Dark Energy,415,Mechanicalchacer
303,Dark Energy,417,Blast Juggler
303,Dark Energy,418,Golgoil
303,Dark Energy,420,Cyber-Stein
303,Dark Energy,421,Cyber Commander
303,Dark Energy,422,Jinzo #7
303,Dark Energy,434,Beautiful Beast Trainer
303,Dark Energy,435,Water Girl
303,Dark Energy,437,Deepsea Shark
303,Dark Energy,438,Metal Fish
303,Dark Energy,441,Mech Bass
303,Dark Energy,447,Giant Red Seasnake
303,Dark Energy,448,Spike Seadra
303,Dark Energy,450,Kappa Avenger
303,Dark Energy,451,Kanikabuto
303,Dark Energy,454,Destroyer Golem
303,Dark Energy,455,Barrel Rock
303,Dark Energy,457,Stone Ghost
303,Dark Energy,460,Bolt Escargot
303,Dark Energy,462,The Immortal of Thunder
303,Dark Energy,470,Magical Ghost
303,Dark Energy,471,Soul Hunter
303,Dark Energy,472,Air Eater
303,Dark Energy,475,Sinister Serpent
303,Dark Energy,482,Pragtical
303,Dark Energy,487,Flower Wolf
303,Dark Energy,490,Needle Ball
303,Dark Energy,496,Wilmee
303,Dark Energy,498,Morinphen
303,Dark Energy,500,Dragon Seeker
303,Dark Energy,501,Man-eater Bug
303,Dark Energy,504,Fungi of the Musk
303,Dark Energy,506,Gale Dogra
303,Dark Energy,507,Crazy Fish
303,Dark Energy,512,Cannon Soldier
303,Dark Energy,514,Brave Scizzar
303,Dark Energy,517,Sand Stone
303,Dark Energy,521,Skullbird
303,Dark Energy,523,The Bistro Butcher
303,Dark Energy,526,Neck Hunter
303,Dark Energy,527,Milus Radiant
303,Dark Energy,529,Flame Cerebrus
303,Dark Energy,530,Eldeen
303,Dark Energy,531,Mystical Sand
303,Dark Energy,534,Minar
303,Dark Energy,539,Corroding Shark
303,Dark Energy,545,Skelgon
303,Dark Energy,546,Wow Warrior
303,Dark Energy,548,Bone Mouse
303,Dark Energy,551,Dark Elf
303,Dark Energy,553,Mushroom Man #2
303,Dark Energy,554,Lava Battleguard
303,Dark Energy,555,Tyhone #2
303,Dark Energy,556,The Wandering Doomed
303,Dark Energy,559,Oscillo Hero
303,Dark Energy,560,Invader from Another Dimension
303,Dark Energy,561,Lesser Dragon
303,Dark Energy,563,Wretched Ghost of the Attic
303,Dark Energy,564,Great Mammoth of Goldfine
303,Dark Energy,565,Man-eating Black Shark
303,Dark Energy,567,Darkworld Thorns
303,Dark Energy,569,Drooling Lizard
303,Dark Energy,571,B. Dragon Jungle King
303,Dark Energy,574,Witch of the Black Forest
303,Dark Energy,578,Leo Wizard
303,Dark Energy,579,Abyss Flower
303,Dark Energy,581,Takuhee
303,Dark Energy,584,Binding Chain
303,Dark Energy,586,Greenkappa
303,Dark Energy,591,Morphing Jar
303,Dark Energy,594,Rose Spectre of Dunn
303,Dark Energy,595,Fiend Refrection #1
303,Dark Energy,596,Ghoul with an Appetite
303,Dark Energy,597,Pale Beast
303,Dark Energy,599,Violent Rain
303,Dark Energy,600,Key Mace #2
303,Dark Energy,604,Obese Marmot of Nefariousness
303,Dark Energy,611,Hiro's Shadow Scout
303,Dark Energy,613,Twin-headed Thunder Dragon
303,Dark Energy,614,Hunter Spider
303,Dark Energy,618,Warrior of Tradition
303,Dark Energy,621,Succubus Knight
303,Dark Energy,623,The Thing That Hides in the Mud
303,Dark Energy,632,Stone Ogre Grotto
303,Dark Energy,635,Queen's Double
303,Dark Energy,641,Invader of the Throne
303,Dark Energy,642,Mystical Sheep #1
303,Dark Energy,643,Disk Magician
303,Dark Energy,644,Flame Viper
303,Dark Energy,646,Gruesome Goo
303,Dark Energy,650,Whiptail Crow
303,Dark Energy,702,Hungry Burger
303,Dark Energy,703,Sengenjin
303,Dark Energy,707,Skull Knight
303,Dark Energy,709,Chakra
303,Dark Energy,712,Meteor Dragon
303,Dark Energy,715,Psycho-Puppet
303,Dark Energy,716,Garma Sword
303,Dark Energy,719,Dokurorider
303,Dark Energy,720,Mask of Shine & Dark
303,Dark Energy,722,Magician of Black Chaos
304,Axe of Despair,3,Hitotsu-me Giant
304,Axe of Despair,5,Ryu-kishin
304,Axe of Despair,6,Feral Imp
304,Axe of Despair,12,Swamp Battleguard
304,Axe of Despair,14,Battle Steer
304,Axe of Despair,22,Summoned Skull
304,Axe of Despair,23,The Wicked Worm Beast
304,Axe of Despair,24,Skull Servant
304,Axe of Despair,25,Horn Imp
304,Axe of Despair,26,Battle Ox
304,Axe of Despair,27,Beaver Warrior
304,Axe of Despair,29,Mountain Warrior
304,Axe of Despair,30,Zombie Warrior
304,Axe of Despair,64,Tiger Axe
304,Axe of Despair,66,Kojikocy
304,Axe of Despair,68,Garoozis
304,Axe of Despair,76,Krokodilus
304,Axe of Despair,77,Grappler
304,Axe of Despair,78,Axe Raider
304,Axe of Despair,86,Barox
304,Axe of Despair,88,Metal Guardian
304,Axe of Despair,91,Mystic Horseman
304,Axe of Despair,92,Rabid Horseman
304,Axe of Despair,96,Armored Zombie
304,Axe of Despair,107,Kageningen
304,Axe of Despair,119,Trial of Nightmares
304,Axe of Despair,127,Ansatsu
304,Axe of Despair,149,Lord of the Lamp
304,Axe of Despair,152,The Melting Red Shadow
304,Axe of Despair,169,Dark King of the Abyss
304,Axe of Despair,171,Big Eye
304,Axe of Despair,178,Claw Reacher
304,Axe of Despair,182,Masked Clown
304,Axe of Despair,185,Eyearmor
304,Axe of Despair,187,Gate Deeg
304,Axe of Despair,188,Synchar
304,Axe of Despair,194,Terra the Terrible
304,Axe of Despair,195,Doron
304,Axe of Despair,202,Air Marmot of Nefariousness
304,Axe of Despair,206,Twin Long Rods #1
304,Axe of Despair,219,Solitude
304,Axe of Despair,224,Trap Master
304,Axe of Despair,226,Skull Stalker
304,Axe of Despair,231,Wood Clown
304,Axe of Despair,246,One Who Hunts Souls
304,Axe of Despair,263,Rock Ogre Grotto #2
304,Axe of Despair,271,Megirus Light
304,Axe of Despair,281,Mystic Clown
304,Axe of Despair,286,Gatekeeper
304,Axe of Despair,287,Ogre of the Black Shadow
304,Axe of Despair,295,Bio Plant
304,Axe of Despair,351,Yaranzo
304,Axe of Despair,356,Super War-lion
304,Axe of Despair,359,Three-legged Zombies
304,Axe of Despair,381,Toon Alligator
304,Axe of Despair,382,Rude Kaiser
304,Axe of Despair,388,Pendulum Machine
304,Axe of Despair,401,Ushi Oni
304,Axe of Despair,406,Yaiba Robo
304,Axe of Despair,408,Giant Mech-soldier
304,Axe of Despair,419,Giganto
304,Axe of Despair,453,Millennium Golem
304,Axe of Despair,454,Destroyer Golem
304,Axe of Despair,455,Barrel Rock
304,Axe of Despair,471,Soul Hunter
304,Axe of Despair,480,Kuwagata α
304,Axe of Despair,501,Man-eater Bug
304,Axe of Despair,523,The Bistro Butcher
304,Axe of Despair,526,Neck Hunter
304,Axe of Despair,541,Hane-Hane
304,Axe of Despair,546,Wow Warrior
304,Axe of Despair,554,Lava Battleguard
304,Axe of Despair,557,Steel Ogre Grotto #1
304,Axe of Despair,569,Drooling Lizard
304,Axe of Despair,580,Patrol Robo
304,Axe of Despair,596,Ghoul with an Appetite
304,Axe of Despair,611,Hiro's Shadow Scout
304,Axe of Despair,618,Warrior of Tradition
304,Axe of Despair,627,Nekogal #2
304,Axe of Despair,645,Royal Guard
304,Axe of Despair,649,Hibikime
304,Axe of Despair,703,Sengenjin
305,Laser Cannon Armor,3,Hitotsu-me Giant
305,Laser Cannon Armor,4,Baby Dragon
305,Laser Cannon Armor,5,Ryu-kishin
305,Laser Cannon Armor,6,Feral Imp
305,Laser Cannon Armor,12,Swamp Battleguard
305,Laser Cannon Armor,13,Tyhone
305,Laser Cannon Armor,28,Rock Ogre Grotto #1
305,Laser Cannon Armor,39,Curse of Dragon
305,Laser Cannon Armor,45,Oscillo Hero #2
305,Laser Cannon Armor,46,Griffore
305,Laser Cannon Armor,49,Big Insect
305,Laser Cannon Armor,50,Basic Insect
305,Laser Cannon Armor,51,Armored Lizard
305,Laser Cannon Armor,52,Hercules Beetle
305,Laser Cannon Armor,53,Killer Needle
305,Laser Cannon Armor,54,Gokibore
305,Laser Cannon Armor,55,Giant Flea
305,Laser Cannon Armor,56,Larvae Moth
305,Laser Cannon Armor,57,Great Moth
305,Laser Cannon Armor,65,Silver Fang
305,Laser Cannon Armor,67,Perfectly Ultimate Great Moth
305,Laser Cannon Armor,68,Garoozis
305,Laser Cannon Armor,72,Cocoon of Evolution
305,Laser Cannon Armor,74,Giant Soldier of Stone
305,Laser Cannon Armor,76,Krokodilus
305,Laser Cannon Armor,77,Grappler
305,Laser Cannon Armor,79,Megazowler
305,Laser Cannon Armor,80,Uraby
305,Laser Cannon Armor,81,Crawling Dragon #2
305,Laser Cannon Armor,85,King of Yamimakai
305,Laser Cannon Armor,87,Dark Chimera
305,Laser Cannon Armor,88,Metal Guardian
305,Laser Cannon Armor,89,Catapult Turtle
305,Laser Cannon Armor,91,Mystic Horseman
305,Laser Cannon Armor,92,Rabid Horseman
305,Laser Cannon Armor,94,Crawling Dragon
305,Laser Cannon Armor,97,Dragon Zombie
305,Laser Cannon Armor,105,Tomozaurus
305,Laser Cannon Armor,112,That Which Feeds on Life
305,Laser Cannon Armor,113,Dark Gray
305,Laser Cannon Armor,116,Nightmare Scorpion
305,Laser Cannon Armor,121,Sleeping Lion
305,Laser Cannon Armor,125,Faith Bird
305,Laser Cannon Armor,139,Blue-eyed Silver Zombie
305,Laser Cannon Armor,141,Spiked Snail
305,Laser Cannon Armor,155,Larvas
305,Laser Cannon Armor,159,Dig Beak
305,Laser Cannon Armor,171,Big Eye
305,Laser Cannon Armor,175,Ancient Brain
305,Laser Cannon Armor,177,Monsturtle
305,Laser Cannon Armor,181,Dark Shade
305,Laser Cannon Armor,183,Lucky Trinket
305,Laser Cannon Armor,193,Turtle Tiger
305,Laser Cannon Armor,197,Mech Mole Zombie
305,Laser Cannon Armor,202,Air Marmot of Nefariousness
305,Laser Cannon Armor,204,Mabarrel
305,Laser Cannon Armor,209,Winged Cleaver
305,Laser Cannon Armor,221,Kumootoko
305,Laser Cannon Armor,222,Midnight Fiend
305,Laser Cannon Armor,226,Skull Stalker
305,Laser Cannon Armor,232,Madjinn Gunn
305,Laser Cannon Armor,241,Dark Assailant
305,Laser Cannon Armor,243,Water Element
305,Laser Cannon Armor,245,Meda Bat
305,Laser Cannon Armor,255,Prevent Rat
305,Laser Cannon Armor,275,Ground Attacker Bugroth
305,Laser Cannon Armor,278,Petit Moth
305,Laser Cannon Armor,286,Gatekeeper
305,Laser Cannon Armor,292,Psychic Kappa
305,Laser Cannon Armor,296,One-eyed Shield Dragon
305,Laser Cannon Armor,297,Cyber Soldier of Darkworld
305,Laser Cannon Armor,300,Kurama
305,Laser Cannon Armor,353,Takriminos
305,Laser Cannon Armor,355,Megasonic Eye
305,Laser Cannon Armor,357,Yamadron
305,Laser Cannon Armor,360,Zera The Mant
305,Laser Cannon Armor,367,Jirai Gumo
305,Laser Cannon Armor,368,Shadow Ghoul
305,Laser Cannon Armor,369,Wall Shadow
305,Laser Cannon Armor,370,Labyrinth Tank
305,Laser Cannon Armor,375,Dungeon Worm
305,Laser Cannon Armor,377,Ryu-kishin Powered
305,Laser Cannon Armor,381,Toon Alligator
305,Laser Cannon Armor,382,Rude Kaiser
305,Laser Cannon Armor,383,Parrot Dragon
305,Laser Cannon Armor,386,Harpie's Pet Dragon
305,Laser Cannon Armor,388,Pendulum Machine
305,Laser Cannon Armor,390,Launcher Spider
305,Laser Cannon Armor,392,Metalzoa
305,Laser Cannon Armor,394,Steel Scorpion
305,Laser Cannon Armor,397,Leghul
305,Laser Cannon Armor,405,Saber Slasher
305,Laser Cannon Armor,406,Yaiba Robo
305,Laser Cannon Armor,407,Machine King
305,Laser Cannon Armor,408,Giant Mech-soldier
305,Laser Cannon Armor,409,Metal Dragon
305,Laser Cannon Armor,410,Mechanical Spider
305,Laser Cannon Armor,411,Bat
305,Laser Cannon Armor,412,Giga-tech Wolf
305,Laser Cannon Armor,413,Cyber Soldier
305,Laser Cannon Armor,414,Shovel Crusher
305,Laser Cannon Armor,415,Mechanicalchacer
305,Laser Cannon Armor,416,Blocker
305,Laser Cannon Armor,417,Blast Juggler
305,Laser Cannon Armor,418,Golgoil
305,Laser Cannon Armor,419,Giganto
305,Laser Cannon Armor,420,Cyber-Stein
305,Laser Cannon Armor,421,Cyber Commander
305,Laser Cannon Armor,422,Jinzo #7
305,Laser Cannon Armor,423,Dice Armadillo
305,Laser Cannon Armor,424,Sky Dragon
305,Laser Cannon Armor,427,Kaiser Dragon
305,Laser Cannon Armor,438,Metal Fish
305,Laser Cannon Armor,441,Mech Bass
305,Laser Cannon Armor,476,Ganigumo
305,Laser Cannon Armor,477,Alinsection
305,Laser Cannon Armor,478,Insect Soldiers of the Sky
305,Laser Cannon Armor,479,Cockroach Knight
305,Laser Cannon Armor,480,Kuwagata α
305,Laser Cannon Armor,485,Korogashi
305,Laser Cannon Armor,499,Kattapillar
305,Laser Cannon Armor,501,Man-eater Bug
305,Laser Cannon Armor,506,Gale Dogra
305,Laser Cannon Armor,508,Cyber Saurus
305,Laser Cannon Armor,512,Cannon Soldier
305,Laser Cannon Armor,513,Guardian of the Throne Room
305,Laser Cannon Armor,514,Brave Scizzar
305,Laser Cannon Armor,533,Kwagar Hercules
305,Laser Cannon Armor,534,Minar
305,Laser Cannon Armor,535,Kamakiriman
305,Laser Cannon Armor,544,Dharma Cannon
305,Laser Cannon Armor,555,Tyhone #2
305,Laser Cannon Armor,557,Steel Ogre Grotto #1
305,Laser Cannon Armor,561,Lesser Dragon
305,Laser Cannon Armor,562,Needle Worm
305,Laser Cannon Armor,571,B. Dragon Jungle King
305,Laser Cannon Armor,576,Giant Scorpion of the Tundra
305,Laser Cannon Armor,580,Patrol Robo
305,Laser Cannon Armor,585,Mechanical Snail
305,Laser Cannon Armor,603,Fairy Dragon
305,Laser Cannon Armor,609,Bladefly
305,Laser Cannon Armor,614,Hunter Spider
305,Laser Cannon Armor,639,Amphibious Bugroth
305,Laser Cannon Armor,640,Acid Crawler
305,Laser Cannon Armor,643,Disk Magician
305,Laser Cannon Armor,645,Royal Guard
305,Laser Cannon Armor,648,Machine Attacker
305,Laser Cannon Armor,712,Meteor Dragon
305,Laser Cannon Armor,717,Javelin Beetle
306,Insect Armor with Laser Cannon,49,Big Insect
306,Insect Armor with Laser Cannon,50,Basic Insect
306,Insect Armor with Laser Cannon,51,Armored Lizard
306,Insect Armor with Laser Cannon,52,Hercules Beetle
