mode,address,attempt,reference_path,reference_sha256,profile,candidate_source,candidate_sha256,result,summary
reference_match,0x80012CD4,4,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/agents/reference-pure-2/candidates/func_80012CD4_v4.c,bb1fc834e2577946527480fa38af2001f051b09c6313d942de83b383f66dee88,nonmatch,byte +0x2: 82!=84; word +0x0: 9401828f!=9401848f; relocations differ; size 120/120
reference_match,0x80012CD4,5,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8_no_sched2,tmp/agents/reference-pure-2/candidates/func_80012CD4_v5.c,e58778225409ab5312920ff700ee8564215aa06d66e0547f03f25cae2d2c8aea,nonmatch,byte +0x0: 94!=e8; word +0x0: 9401828f!=e8ffbd27; relocations differ; size 116/120
reference_match,0x80012CD4,6,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/agents/reference-pure-2/candidates/func_80012CD4_v6.c,cddb290d41614376e2e4c7f298ad8fa504f565354cf487bc775afadf7b18bfbd,deferred,byte +0x4: 00!=c0; word +0x4: 00000000!=c001838f; relocations differ; size 116/120
reference_match,0x80012DB4,1,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_g8,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-1.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,nonmatch,byte +0x2c: fb!=03; word +0x2c: fbff4014!=03004010; relocations differ; size 0xAC/0xA8
reference_match,0x80012DB4,2,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_g8_split,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-2.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,nonmatch,byte +0x2c: fb!=03; word +0x2c: fbff4014!=03004010; relocations differ
reference_match,0x80012DB4,3,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_o1_g8,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-3.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,nonmatch,byte +0x0: 90!=e8; word +0x0: 90018297!=e8ffbd27; relocations differ; size 0xD0/0xA8
reference_match,0x80012DB4,4,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_g8_no_sched2,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-4.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,nonmatch,byte +0x0: 90!=e8; word +0x0: 90018297!=e8ffbd27; relocations differ; size 0xBC/0xA8
reference_match,0x80012DB4,5,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_g8_no_split,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-5.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,nonmatch,byte +0x2c: fb!=03; word +0x2c: fbff4014!=03004010; relocations differ; size 0xAC/0xA8
reference_match,0x80012DB4,6,tmp/references/ygofm-decomp/src/func_80012DB4.c,cf90aab9e275ceed00a69c9eadf71fc6359251ff2aeeb913ce80cc724b49f489,gcc_2_8_1_g0,tmp/agents/reference-pure-3/attempt-sources/80012DB4/attempt-6.c,c0d596e469799bc0d71296f5d8866bd38e735acb47652cc765547d1e7fdc5436,deferred,byte +0x0: 90!=0a; word +0x0: 90018297!=0a80023c; relocations differ; size 0xE0/0xA8
inline_refinement,0x8001306C,1,tmp/references/ygofm-decomp/src/func_8001306C.c,2603eb5c904edd2bc878c99fea802a1cb88d8a411f4a127d33b064fc4e98852e,gcc_2_8_1_g8,tmp/agents/inline-asm-inventory/candidates/0x8001306C/attempt-1.c,e3e870ea24bf5c94557ca708455b706619b82240b871fbe51ec76511c0510ef1,nonmatch,pure-C compile/build failed: error: command failed with exit code 1: /home/superconta/data/share/yugioh/tools/toolchains/gcc-2.8.1-psx/bin/mips-sony-psx-gcc
inline_refinement,0x8001306C,2,tmp/references/ygofm-decomp-unchiga/src/func_8001306C.c,feab16b0d44aa92663b502c3f1a8421ae22ce076d4db2f0d9750d5ca4b54bf15,gcc_2_8_1_g8_split,tmp/agents/unchiga-integration/candidates/func_8001306C.c,8b5eb582cfec0d1ac5d89f5565bbcee609e1d363eefeb2e94903507b815cbb3e,matched,Unchiga pure-C source independently reproduced exact linked text and relocation targets with no allocated non-text sections.
post_terminal_resolution,0x80013360,1,,,gcc_2_8_1_g8_split,tmp/cand/final_13360.c,22d7d4b18eefd351c3f5fdfbe41987224e8cf4180de497d4ac8e75a733f94ef8,matched,"New discriminator: compiler: a volatile scalar declared with an explicit section attribute is read with a fresh lui/%lo pair at every access under -G8 -msplit-addresses, where the array form lets CSE hoist one base for the whole body; that difference is what distinguishes the two spellings in this target; exact result: Byte-exact at 85 instructions: volatile section-attribute scalars for the pad globals give the per-access lui/lo the target has, a goto loop keeps the compiler's loop pass out, and one pin holds the D_800E9D28 base in s0"
inline_refinement,0x800134B4,1,tmp/references/ygofm-decomp/src/func_800134B4.c,e7b5b181c2bd4f29ce13b23130d0096dd7460c5d0432ca019eb3d08d7af9b0a7,gcc_2_8_1_g8,tmp/agents/inline-asm-inventory/candidates/0x800134B4/attempt-1.c,4631718ae618073acef9740c563f85468b248078e215929240a3434a81514b7e,nonmatch,pure-C compile/build failed: error: command failed with exit code 1: /home/superconta/data/share/yugioh/tools/toolchains/binutils-2.42/bin/mipsel-none-elf-ld
inline_refinement,0x800134B4,2,tmp/references/ygofm-decomp-unchiga/src/zero_word_table_and_flag.c,cd1c2fbf063275b66401087e445d833ff46affabd704df29d44b33f75c73b527,gcc_2_8_1_g8_split,tmp/agents/unchiga-integration/candidates/func_800134B4.c,8b4ad376045bb25fe225a83674108c1c6cbe797103947c9529c66f1ca540ccd3,matched,Unchiga pure-C source independently reproduced exact linked text and relocation targets with no allocated non-text sections.
reference_match,0x8001352C,1,tmp/references/ygofm-decomp/src/func_8001352C.c,4fc8fba1b63adcd808cb26723f6aaa718391e28aa16823e5bb4b507e235fefc2,gcc_2_8_1_g0,tmp/agents/reference-pure-4/variants/func_8001352C_a1.c,02c153f238fd4e1ff2b63889d7d4ef8cb9ccc179cc0f995f13fbdb16547286af,nonmatch,byte +0x4: 0f!=18; word +0x4: 0f80023c!=1800b2af; relocation records differ; size 0xd0/0xd0.
reference_match,0x8001352C,2,tmp/references/ygofm-decomp/src/func_8001352C.c,4fc8fba1b63adcd808cb26723f6aaa718391e28aa16823e5bb4b507e235fefc2,gcc_2_8_1_g0_split,tmp/agents/reference-pure-4/variants/func_8001352C_a2.c,02c153f238fd4e1ff2b63889d7d4ef8cb9ccc179cc0f995f13fbdb16547286af,matched,Exact linked bytes and relocation records.
reference_match,0x800135FC,1,tmp/references/ygofm-decomp/src/func_800135FC.c,cc2993770fc8b62385e0355e6a282294d5dcea8cb4a42716b8fbd934f33dd6a9,gcc_2_8_1_g8,tmp/agents/reference-pure-5/prepared/func_800135FC.c,60c49e70c8898e805102ddaa9e6c2e8bba8ddb5c17ce87a05f066230a908f8cd,nonmatch,text_exact=false; text_diff=22; size=216/216; relocations_exact=false; section_issue=false
reference_match,0x800135FC,2,tmp/references/ygofm-decomp/src/func_800135FC.c,cc2993770fc8b62385e0355e6a282294d5dcea8cb4a42716b8fbd934f33dd6a9,gcc_2_8_1_g8_split,tmp/agents/reference-pure-5/prepared/func_800135FC.c,60c49e70c8898e805102ddaa9e6c2e8bba8ddb5c17ce87a05f066230a908f8cd,matched,text_exact=true; text_diff=0; size=216/216; relocations_exact=true; section_issue=false
post_terminal_resolution,0x800136E4,1,tmp/references/ygofm-decomp-machinegun/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_cc_g8_as_g2_split,tmp/File_SetPositionTable_candidate.c,790c8388a722c618da5ddcec107f05abb8061438e1547b29efe4f876d275d3dc,matched,Exact 256-byte match after new evidence established GCC -G8 -msplit-addresses with MASPSX -G2; sized D_80010038 preserves loop-local materialization while one-byte D_8009B0E0 remains gp-relative.
reference_match,0x800136E4,1,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g8,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,nonmatch,text_exact=false; text_diff=178; size=264/256; relocations_exact=false; section_issue=false
reference_match,0x800136E4,2,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g8_split,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,nonmatch,text_exact=false; text_diff=204; size=272/256; relocations_exact=false; section_issue=false
reference_match,0x800136E4,3,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g0,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,nonmatch,text_exact=false; text_diff=146; size=272/256; relocations_exact=false; section_issue=false
reference_match,0x800136E4,4,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g0_split,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,nonmatch,text_exact=false; text_diff=220; size=280/256; relocations_exact=false; section_issue=false
reference_match,0x800136E4,5,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g8_no_sched2,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,nonmatch,text_exact=false; text_diff=193; size=264/256; relocations_exact=false; section_issue=false
reference_match,0x800136E4,6,tmp/references/ygofm-decomp/src/func_800136E4.c,ff123cb3cacabf1ebf8c9ba423d00cff64a66b81db1048432eb4832f736366c8,gcc_2_8_1_g0_no_sched2,tmp/agents/reference-pure-5/prepared/func_800136E4.c,f1b076effd33a3d162e9daf9ad78a394dc8865369985987144748cd392e0d12c,deferred,text_exact=false; text_diff=163; size=272/256; relocations_exact=false; section_issue=false
reference_match,0x800137E4,1,tmp/references/ygofm-decomp/src/func_800137E4.c,3c12a5962d6e4662411f73794f1d723beb9dd48822f9049cf599e79873158edc,gcc_2_8_1_g0,tmp/agents/reference-pure-4/variants/func_800137E4_a1.c,0171696756b9f78bbc685fb26ee1970627e3c516382356b49171e70c80e90360,matched,Exact linked bytes and relocation records.
inline_refinement,0x80013940,1,tmp/references/ygofm-decomp/src/func_80013940.c,f13b2a690696cc24b72f0ffd6aa7f9cafca69362dcbd879d7435f55fbce321c2,gcc_2_8_1_g8,tmp/agents/inline-asm-inventory/candidates/0x80013940/attempt-1.c,4005476295838a5baf8f92cfdd6cb9733d29b005c81f80b56d47323499722e27,matched,pure-C candidate matched the full executable exactly
post_terminal_resolution,0x80013B04,1,,,gcc_2_8_1_g8_split,tmp/work/game/func_80013B04.c,85a25d7cf7f605b257dc6129ed5d873fa40fe6b18b8cb840da255e6f3924299c,matched,Returning the D_800E9E60 struct pointer and writing the guard as an equality test with the success path inside the if reproduces retail's branch polarity; assigning f24 before f46 lets the addiu completing the struct address fill the array load's delay slot.
reference_match,0x80013B04,1,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8,tmp/agents/reference-pure-1/prepared/func_80013B04_v1.c,bede7011c0772b02b47fe96a7a44b2a7ea87a04f79d907b7be5c43a0a85a7bfa,nonmatch,"Attempt 1: same-address reference supplied structure only; all primitive widths, signed loads, pointer-vs-array forms, field offsets, strides, and prototypes were independently recovered from local target assembly/relocations/callers. target has GPREL16 relocations; split choice follows nearest locally matching function; bytes=False, relocations=False, size=92/100"
reference_match,0x80013B04,2,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8_split,tmp/agents/reference-pure-1/prepared/func_80013B04_v1.c,bede7011c0772b02b47fe96a7a44b2a7ea87a04f79d907b7be5c43a0a85a7bfa,nonmatch,"Attempt 2: toggled only the local split-address profile at the same G threshold. Attempt 1 showed exact source-level structure but address/register scheduling, relocation-site, or size differences characteristic of split-address codegen.; bytes=False, relocations=False, size=100/100"
reference_match,0x80013B04,3,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8,tmp/agents/reference-pure-1/prepared/func_80013B04_v2.c,5ed74fc8eee6bc1d9d6fa5f478a1c94022cdbe5c2e2b455b6f61a47b80b06801,nonmatch,"Attempt 3: target preserves both incoming arguments in a2/a3 before the condition; introduced independently named index/addend live ranges.; bytes=False, relocations=False, size=92/100"
reference_match,0x80013B04,4,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8,tmp/agents/reference-pure-1/prepared/func_80013B04_v3.c,bf138704b6616fa17675f030d837c9ceba0f9f3e8479b8a40f7d46828202c3ca,nonmatch,"Attempt 4: exposed the target constant and condition as independent local live ranges to reproduce a2/a3 preservation.; bytes=False, relocations=False, size=92/100"
reference_match,0x80013B04,5,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8,tmp/agents/reference-pure-1/prepared/func_80013B04_v4.c,1867ed07fce2f6adbe7615bef86ae82b66e2d1a568f1ee5cafdfdc416d2cc29e,nonmatch,"Attempt 5: retained only an explicit flag constant so a1 is consumed and both original arguments require the target a2/a3 preservation.; bytes=False, relocations=False, size=92/100"
reference_match,0x80013B04,6,tmp/references/ygofm-decomp/src/func_80013B04.c,ab1439b255e044456432bebfb7e4273051711502bb95ecb08a8a2535433e6b73,gcc_2_8_1_g8_split,tmp/agents/reference-pure-1/prepared/func_80013B04_v4.c,1867ed07fce2f6adbe7615bef86ae82b66e2d1a568f1ee5cafdfdc416d2cc29e,deferred,"Attempt 6: target separately materializes the indexed table base, freeing a1 for the flag and requiring a2/a3 argument preservation; final split-address test.; bytes=False, relocations=False, size=96/100"
post_terminal_resolution,0x80013B68,1,,,gcc_2_8_1_g8_split,tmp/work/game/ab-then-cd.c,a31bd85fa152d513997119b570386dc83e47ab192a85f1d54326dc02d1f18b7d,matched,"Assigning f24 and f34 before the byte fields makes GCC allocate the four parameters to s1-s4 in parameter order rather than by first use; leaving f2C last keeps addiu v0,zero,4 in the branch delay slot, which moving it ahead of f46 replaces with lui v0,8."
inline_refinement,0x80014220,1,tmp/references/ygofm-decomp/src/func_80014220.c,eaa8be7bdea41cf7a405f040ad57ec38d2e45d31ba65832b6a2c6e18be38725e,gcc_2_8_1_g8_split,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,nonmatch,pure-C compile/build failed: error: command failed with exit code 1: /home/superconta/data/share/yugioh/tools/toolchains/binutils-2.42/bin/mipsel-none-elf-ld
inline_refinement,0x80014220,2,,,gcc_2_8_1_g8_no_split,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,nonmatch,"profile-pass nonmatch: bytes=False, relocations=False, size=112/116; +0x14: 0180063c != 09000424"
inline_refinement,0x80014220,3,,,gcc_2_8_1_g8,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,nonmatch,"profile-pass nonmatch: bytes=False, relocations=False, size=112/116; +0x14: 0180063c != 09000424"
inline_refinement,0x80014220,4,,,gcc_2_7_2_g8,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,nonmatch,"profile-pass nonmatch: bytes=False, relocations=False, size=112/116; +0x14: 0180063c != 09000424"
inline_refinement,0x80014220,5,,,gcc_2_8_1_g8_no_sched2,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,nonmatch,"profile-pass nonmatch: bytes=False, relocations=False, size=116/116; +0x14: 0180063c != 2802828f"
inline_refinement,0x80014220,6,,,gcc_2_8_1_o1_g8,tmp/agents/inline-asm-inventory/candidates/0x80014220/attempt-1.c,a686a7740a708fa1ef25d7e300c827212d8436234958754976c8a566907dbb6e,deferred,"profile-pass nonmatch: bytes=False, relocations=False, size=116/116; +0x14: 0180063c != 2802828f"
post_terminal_resolution,0x800143DC,1,,,gcc_2_8_1_g8_split,tmp/candidates/continuous-143dc/correct_flag_width.c,96d03739d00d03e85dd68bcab0d099da09c2d9948792a0a9b16f7bfc838afb40,matched,"New declaration-width discriminator: target uses lhu/sh for D_8009B112, proving a 16-bit flag. Correcting the prior u8 declaration yields exact 220/220-byte text and strict relocations."
reference_match,0x800143DC,1,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g8,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,nonmatch,text_exact=false; text_diff=132; size=224/220; relocations_exact=false; section_issue=false
reference_match,0x800143DC,2,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g8_split,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,nonmatch,text_exact=false; text_diff=2; size=220/220; relocations_exact=true; section_issue=false
reference_match,0x800143DC,3,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g0,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,nonmatch,text_exact=false; text_diff=143; size=236/220; relocations_exact=false; section_issue=false
reference_match,0x800143DC,4,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g0_split,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,nonmatch,text_exact=false; text_diff=28; size=216/220; relocations_exact=false; section_issue=false
reference_match,0x800143DC,5,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g8_no_sched2,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,nonmatch,text_exact=false; text_diff=115; size=224/220; relocations_exact=false; section_issue=false
reference_match,0x800143DC,6,tmp/references/ygofm-decomp/src/func_800143DC.c,4ee0a728eb92351adefe8181cbfb265ff1282dc4d7f5dacb1a50cf4674273e32,gcc_2_8_1_g0_no_sched2,tmp/agents/reference-pure-5/prepared/func_800143DC.c,8e7c007a91eaa4e730aec6840bfcab67be4e7e3de38656bb95cace8dc2f6638f,deferred,text_exact=false; text_diff=126; size=236/220; relocations_exact=false; section_issue=false
post_terminal_resolution,0x80014A5C,1,tmp/references/ygofm-decomp-machinegun/src/func_80014A5C.c,c31121512e2040edadf4fa8e7fdf88174f5ada5e96be36ff818fecd8cf04cdb9,gcc_2_8_1_g8_split,tmp/func_80014A5C_candidate.c,576b57f9bd4abdc44d01e4c4062763caf5301256ed9d119b9ef21c840e1337dd,matched,"Exact file-service guard match from new selective-volatility evidence: volatile D_8009B0E8 preserves store-before-load ordering and the load delay, while volatile D_8009B0F4 preserves independent flag reloads."
reference_match,0x80014A5C,1,tmp/references/ygofm-decomp/src/func_80014A5C.c,c31121512e2040edadf4fa8e7fdf88174f5ada5e96be36ff818fecd8cf04cdb9,gcc_2_8_1_g8,tmp/agents/reference-pure-4/variants/func_80014A5C_a1.c,f3bb372115809f28b70f5f492bc3fd772933053408234f82f230a15a101d19c8,nonmatch,Tool-stage failure: /home/superconta/data/share/yugioh/tools/toolchains/binutils-2.42/bin/mipsel-none-elf-ld failed (1): /home/superconta/data/share/yugioh/tools/toolchains/binutils-2.42/bin/mipsel-none-elf-ld: small-data section too large; lower small-data size limit (see option -G) /home/superconta/data/share/yugioh/tmp/agents/reference-pure-4/build/80014A5C/a1/candidate.o: in function `func_80014A5C': (.text+0x7c): relocation truncated to fit: R_MIPS_GPREL16 against `D_800E9E60' (.text+0x8c): relocation truncated to fit: R_MIPS_GPREL16 against `D_800E9E60'
reference_match,0x80014A5C,2,tmp/references/ygofm-decomp/src/func_80014A5C.c,c31121512e2040edadf4fa8e7fdf88174f5ada5e96be36ff818fecd8cf04cdb9,gcc_2_8_1_g8,tmp/agents/reference-pure-4/variants/func_80014A5C_a2.c,0b463850d3bb1166c279e80c5a55809892e196c83626f88b678308650778074c,nonmatch,byte +0x3: 97!=8f; word +0x0: 1c028297!=1c02828f; relocation records differ; size 0xbc/0xd4.
reference_match,0x80014A5C,3,tmp/references/ygofm-decomp/src/func_80014A5C.c,c31121512e2040edadf4fa8e7fdf88174f5ada5e96be36ff818fecd8cf04cdb9,gcc_2_8_1_g8,tmp/agents/reference-pure-4/variants/func_80014A5C_a3.c,21dd2b5be09d65ce9dd43ffe275d7de30f2b5cb8d7f57bef878c3c4afe8b1ef2,nonmatch,byte +0x14: c8!=cc; word +0x14: c8520008!=cc520008; relocation records differ; size 0xe4/0xd4.
