id,name,type,attribute,level,guardian_star_1,guardian_star_2,attack,defense,password,starchip_cost
24,Skull Servant,Zombie,Dark,1,Moon,Neptune,300,200,32274490,10
25,Horn Imp,Fiend,Dark,4,Moon,Mercury,1300,1000,69669405,80
26,Battle Ox,Beast-Warrior,Earth,4,Jupiter,Moon,1700,1000,05053103,999999
27,Beaver Warrior,Beast-Warrior,Earth,4,Jupiter,Venus,1200,1500,32452818,140
28,Rock Ogre Grotto #1,Rock,Earth,3,Uranus,Mercury,800,1200,68846917,999999
29,Mountain Warrior,Beast-Warrior,Earth,3,Uranus,Mars,600,1000,04931562,35
30,Zombie Warrior,Zombie,Dark,3,Moon,Mars,1200,900,31339260,60
31,Koumori Dragon,Dragon,Dark,4,Moon,Jupiter,1500,1200,67724379,140
32,Two-headed King Rex,Dinosaur,Earth,4,Uranus,Neptune,1600,1200,94119974,160
33,Judge Man,Warrior,Earth,6,Sun,Saturn,2200,1500,30113682,1000
34,Saggi the Dark Clown,Spellcaster,Dark,3,Mercury,Moon,600,1500,66602787,60
35,Dark Magician,Spellcaster,Dark,7,Mercury,Mars,2500,2100,46986414,999999
36,The Snake Hair,Zombie,Dark,4,Moon,Saturn,1500,1200,29491031,140
37,Gaia the Dragon Champion,Dragon,Wind,7,Saturn,Mercury,2600,2100,66889139,999999
38,Gaia the Fierce Knight,Warrior,Earth,7,Mercury,Jupiter,2300,2100,06368038,999999
39,Curse of Dragon,Dragon,Dark,5,Saturn,Pluto,2000,1500,28279543,999999
40,Dragon Piper,Pyro,Fire,3,Mars,Moon,200,1800,55763552,55
41,Celtic Guardian,Warrior,Earth,4,Sun,Uranus,1400,1200,91152256,120
42,Illusionist Faceless Mage,Spellcaster,Dark,5,Venus,Mars,1200,2200,28546905,320
43,Karbonala Warrior,Warrior,Earth,4,Uranus,Jupiter,1500,1200,54541900,140
44,Rogue Doll,Spellcaster,Light,4,Sun,Pluto,1600,1000,91939608,120
45,Oscillo Hero #2,Thunder,Light,3,Pluto,Sun,1000,500,27324313,30
46,Griffore,Beast,Earth,4,Jupiter,Mercury,1200,1500,53829412,140
47,Torike,Beast,Earth,3,Uranus,Sun,1200,600,80813021,45
48,Sangan,Fiend,Dark,3,Moon,Uranus,1000,600,26202165,35
49,Big Insect,Insect,Earth,4,Jupiter,Uranus,1200,1500,53606874,140
50,Basic Insect,Insect,Earth,2,Jupiter,Pluto,500,700,89091579,25
51,Armored Lizard,Reptile,Earth,4,Neptune,Sun,1500,1200,15480588,999999
52,Hercules Beetle,Insect,Earth,5,Jupiter,Neptune,1500,2000,52584282,999999
53,Killer Needle,Insect,Wind,4,Jupiter,Sun,1200,1000,88979991,70
54,Gokibore,Insect,Earth,4,Jupiter,Moon,1200,1400,15367030,999999
55,Giant Flea,Insect,Earth,4,Jupiter,Venus,1500,1200,41762634,140
56,Larvae Moth,Insect,Earth,2,Jupiter,Mercury,500,400,87756343,999999
57,Great Moth,Insect,Earth,8,Jupiter,Uranus,2600,2500,14141448,999999
58,Kuriboh,Fiend,Dark,1,Mercury,Saturn,300,200,40640057,10
59,Mammoth Graveyard,Dinosaur,Earth,3,Mercury,Pluto,1200,800,40374923,55
60,Great White,Fish,Water,4,Neptune,Moon,1600,800,13429800,999999
61,Wolf,Beast,Earth,3,Jupiter,Pluto,1200,800,49417509,55
62,Harpie Lady,Winged Beast,Wind,4,Saturn,Neptune,1300,1400,76812113,999999
63,Harpie Lady Sisters,Winged Beast,Wind,6,Saturn,Mars,1950,2100,12206212,999999
64,Tiger Axe,Beast-Warrior,Earth,4,Jupiter,Neptune,1300,1100,49791927,999999
65,Silver Fang,Beast,Earth,3,Jupiter,Sun,1200,800,90357090,55
66,Kojikocy,Warrior,Earth,4,Uranus,Moon,1500,1200,01184620,140
67,Perfectly Ultimate Great Moth,Insect,Earth,8,Jupiter,Moon,3500,3000,48579379,999999
68,Garoozis,Beast-Warrior,Fire,5,Mars,Venus,1800,1500,14977074,290
69,Thousand Dragon,Dragon,Wind,7,Mars,Mercury,2400,2000,41462083,999999
70,Fiend Kraken,Aqua,Water,4,Neptune,Venus,1200,1400,77456781,120
71,Jellyfish,Aqua,Water,4,Neptune,Mercury,1200,1500,14851496,140
72,Cocoon of Evolution,Insect,Earth,3,Jupiter,Venus,0,2000,40240595,999999
73,Kairyu-shin,Sea Serpent,Water,5,Neptune,Mars,1800,1500,76634149,290
74,Giant Soldier of Stone,Rock,Earth,3,Uranus,Venus,1300,2000,13039848,290
75,Man-eating Plant,Plant,Earth,2,Mercury,Jupiter,800,600,49127943,30
76,Krokodilus,Reptile,Water,4,Neptune,Jupiter,1100,1200,76512652,80
77,Grappler,Reptile,Water,4,Neptune,Saturn,1300,1200,02906250,100
78,Axe Raider,Warrior,Earth,4,Uranus,Mercury,1700,1150,48305365,160
79,Megazowler,Dinosaur,Earth,6,Uranus,Neptune,1800,2000,75390004,500
80,Uraby,Dinosaur,Earth,4,Uranus,Mars,1500,800,01784619,80
81,Crawling Dragon #2,Dinosaur,Earth,4,Moon,Pluto,1600,1200,38289717,160
82,Red-eyes B. Dragon,Dragon,Dark,7,Moon,Neptune,2400,2000,74677422,999999
83,Castle of Dark Illusions,Fiend,Dark,4,Mercury,Uranus,920,1930,00062121,160
84,Reaper of the Cards,Fiend,Dark,5,Moon,Pluto,1380,1930,33066139,290
85,King of Yamimakai,Fiend,Dark,5,Moon,Pluto,2000,1530,69455834,350
86,Barox,Fiend,Dark,5,Jupiter,Mercury,1380,1530,06840573,180
87,Dark Chimera,Fiend,Dark,5,Mercury,Neptune,1610,1460,32344688,200
88,Metal Guardian,Fiend,Dark,5,Moon,Mercury,1150,2150,68339286,290
89,Catapult Turtle,Aqua,Water,5,Neptune,Sun,1000,2000,95727991,200
90,Gyakutenno Megami,Fairy,Light,6,Sun,Neptune,1800,2000,31122090,500
91,Mystic Horseman,Beast,Earth,4,Jupiter,Uranus,1300,1550,68516705,999999
92,Rabid Horseman,Beast-Warrior,Earth,6,Jupiter,Pluto,2000,1700,94905343,999999
93,Zanki,Warrior,Earth,5,Uranus,Jupiter,1500,1700,30090452,260
94,Crawling Dragon,Dragon,Earth,5,Uranus,Sun,1600,1400,67494157,200
95,Crass Clown,Fiend,Dark,4,Venus,Jupiter,1350,1400,93889755,140
96,Armored Zombie,Zombie,Dark,3,Moon,Pluto,1500,0,20277860,260
97,Dragon Zombie,Zombie,Dark,3,Moon,Pluto,1600,0,66672569,200
98,Clown Zombie,Zombie,Dark,2,Moon,Pluto,1350,0,92667214,140
99,Pumpking the King of Ghosts,Zombie,Dark,6,Jupiter,Neptune,1800,2000,29155212,500
100,Battle Warrior,Warrior,Earth,3,Uranus,Moon,700,1000,55550921,40
101,Wings of Wicked Flame,Pyro,Fire,2,Mars,Saturn,700,600,92944626,30
102,Mask of Darkness,Fiend,Dark,2,Mercury,Moon,900,400,28933734,30
103,Job-change Mirror,Fiend,Dark,3,Mercury,Mars,800,1300,55337339,999999
104,Curtain of the Dark Ones,Spellcaster,Dark,2,Mercury,Jupiter,600,500,22026707,25
105,Tomozaurus,Dinosaur,Earth,2,Uranus,Venus,500,400,46457856,20
106,Spirit of the Winds,Spellcaster,Wind,5,Saturn,Sun,1700,1400,54615781,230
107,Kageningen,Warrior,Dark,2,Moon,Mars,800,600,80600490,30
108,Graveyard and the Hand of Invitation,Zombie,Dark,3,Moon,Pluto,700,900,27094595,35
109,Goddess with the Third Eye,Fairy,Light,4,Sun,Venus,1200,1000,53493204,70
110,Hero of the East,Warrior,Earth,3,Uranus,Mercury,1100,1000,89987208,60
111,Doma The Angel of Silence,Fairy,Dark,5,Mercury,Saturn,1600,1400,16972957,200
112,That Which Feeds on Life,Fiend,Dark,4,Mercury,Uranus,1200,1000,52367652,70
113,Dark Gray,Beast,Earth,3,Jupiter,Moon,800,900,09159938,40
114,White Magical Hat,Spellcaster,Light,3,Sun,Mars,1000,700,15150365,40
115,Kamion Wizard,Spellcaster,Dark,4,Mercury,Pluto,1300,1100,41544074,120
116,Nightmare Scorpion,Insect,Earth,3,Uranus,Neptune,900,800,88643173,40
117,Spirit of the Books,Winged Beast,Wind,4,Saturn,Moon,1400,1200,14037717,120
118,Supporter in the Shadows,Warrior,Earth,3,Jupiter,Venus,1000,1000,41422426,55
119,Trial of Nightmares,Fiend,Dark,4,Moon,Pluto,1300,900,77827521,70
120,Dream Clown,Warrior,Earth,3,Venus,Saturn,1200,900,13215230,60
121,Sleeping Lion,Beast,Earth,4,Jupiter,Sun,700,1700,40200834,120
122,Yamatano Dragon Scroll,Dragon,Wind,2,Saturn,Venus,900,300,76704943,25
123,Dark Plant,Plant,Dark,1,Moon,Jupiter,300,400,13193642,15
124,Ancient Tool,Machine,Dark,5,Moon,Saturn,1700,1400,49587396,230
125,Faith Bird,Winged Beast,Wind,4,Sun,Jupiter,1500,1100,75582395,120
126,Orion the Battle King,Fairy,Light,5,Sun,Saturn,1800,1500,02971090,290
127,Ansatsu,Warrior,Earth,5,Mercury,Neptune,1700,1200,48365709,180
128,LaMoon,Spellcaster,Light,5,Sun,Uranus,1200,1700,75850803,180
129,Nemuriko,Spellcaster,Dark,3,Mercury,Moon,800,700,90963488,30
130,Weather Control,Fairy,Light,2,Sun,Pluto,600,400,37243151,20
131,Octoberser,Aqua,Water,5,Neptune,Moon,1600,1400,74637266,200
132,The 13th Grave,Zombie,Dark,3,Moon,Pluto,1200,900,00032864,60
133,Charubin the Fire Knight,Pyro,Fire,3,Mars,Uranus,1100,800,37421579,50
134,Mystical Capture Chain,Fairy,Light,2,Sun,Neptune,700,700,63515678,30
135,Fiend's Hand,Zombie,Dark,2,Moon,Pluto,600,600,52800428,25
136,Witty Phantom,Fiend,Dark,4,Mercury,Mars,1400,1300,36304921,140
137,Mystery Hand,Fiend,Dark,2,Moon,Uranus,500,500,62793020,20
138,Dragon Statue,Warrior,Earth,3,Uranus,Mars,1100,900,09197735,55
139,Blue-eyed Silver Zombie,Zombie,Dark,3,Sun,Pluto,900,700,35282433,35
140,Toad Master,Aqua,Water,3,Neptune,Venus,1000,1000,62671448,55
141,Spiked Snail,Insect,Dark,3,Moon,Jupiter,700,1300,98075147,55
142,Flame Manipulator,Spellcaster,Fire,3,Mars,Pluto,900,1000,34460851,50
143,Necrolancer the Timelord,Spellcaster,Dark,3,Venus,Uranus,800,900,61454890,40
144,Djinn the Watcher of the Wind,Spellcaster,Wind,3,Saturn,Mercury,700,900,97843505,35
145,The Bewitching Phantom Thief,Spellcaster,Dark,2,Venus,Pluto,700,700,24348204,30
146,Temple of Skulls,Zombie,Dark,4,Mercury,Pluto,900,1300,00732302,70
147,Monster Egg,Warrior,Earth,3,Uranus,Jupiter,600,900,36121917,999999
148,The Shadow Who Controls the Dark,Fiend,Dark,3,Mercury,Jupiter,800,700,63125616,30
149,Lord of the Lamp,Fiend,Dark,4,Mercury,Saturn,1400,1200,99510761,120
150,Akihiron,Aqua,Water,5,Neptune,Jupiter,1700,1400,36904469,230
151,Rhaimundos of the Red Sword,Warrior,Earth,4,Neptune,Mars,1200,1300,62403074,100
152,The Melting Red Shadow,Aqua,Water,2,Moon,Neptune,500,700,98898173,25
153,Dokuroizo the Grim Reaper,Zombie,Dark,3,Moon,Pluto,900,1200,25882881,60
154,Fire Reaper,Zombie,Dark,2,Mars,Sun,700,500,53581214,25
155,Larvas,Beast,Earth,3,Jupiter,Mercury,800,1000,94675535,45
156,Hard Armor,Warrior,Earth,3,Uranus,Sun,300,1200,20060230,30
157,Firegrass,Plant,Earth,2,Mars,Moon,700,600,53293545,30
158,Man Eater,Plant,Earth,2,Jupiter,Uranus,800,600,93553943,30
159,Dig Beak,Beast,Earth,2,Jupiter,Pluto,500,800,29948642,30
160,M-warrior #1,Warrior,Earth,3,Uranus,Moon,1000,500,56342351,30
161,M-warrior #2,Warrior,Earth,3,Uranus,Venus,500,1000,92731455,30
162,Tainted Wisdom,Fiend,Dark,3,Moon,Mercury,1250,800,28725004,55
163,Lisark,Beast,Earth,4,Saturn,Pluto,1300,1300,55210709,120
164,Lord of Zemia,Fiend,Dark,4,Mercury,Uranus,1300,1000,81618817,80
165,The Judgement Hand,Warrior,Earth,3,Sun,Venus,1400,700,28003512,60
166,Mysterious Puppeteer,Warrior,Earth,4,Uranus,Mercury,1000,1500,54098121,100
167,Ancient Jar,Rock,Earth,1,Uranus,Neptune,400,200,81492226,15
168,Darkfire Dragon,Dragon,Dark,4,Mars,Venus,1500,1250,17881964,140
169,Dark King of the Abyss,Fiend,Dark,3,Mercury,Pluto,1200,800,53375573,55
170,Spirit of the Harp,Fairy,Light,4,Sun,Mars,800,2000,80770678,160
171,Big Eye,Fiend,Dark,4,Venus,Neptune,1200,1000,16768387,70
172,Armaill,Warrior,Earth,3,Mars,Mercury,700,1300,53153481,55
173,Dark Prisoner,Fiend,Dark,3,Mercury,Neptune,600,1000,89558090,35
174,Hurricail,Spellcaster,Wind,2,Saturn,Neptune,900,200,15042735,25
175,Ancient Brain,Fiend,Dark,3,Mercury,Moon,1000,700,42431843,40
176,Fire Eye,Pyro,Fire,2,Mars,Saturn,800,600,88435542,30
177,Monsturtle,Aqua,Water,3,Neptune,Mercury,800,1000,15820147,45
178,Claw Reacher,Fiend,Dark,3,Mercury,Mars,1000,800,41218256,45
179,Phantom Dewan,Spellcaster,Dark,2,Mercury,Jupiter,700,600,77603950,30
180,Arlownay,Plant,Earth,3,Jupiter,Neptune,800,1000,14708569,45
181,Dark Shade,Fiend,Wind,3,Saturn,Mars,1000,1000,40196604,55
182,Masked Clown,Warrior,Dark,2,Mercury,Saturn,500,700,77581312,25
183,Lucky Trinket,Spellcaster,Light,2,Sun,Jupiter,600,800,03985011,30
184,Genin,Spellcaster,Light,3,Venus,Sun,600,900,49370026,30
185,Eyearmor,Warrior,Earth,2,Uranus,Mars,600,500,64511793,25
186,Fiend Refrection #2,Winged Beast,Light,4,Venus,Mars,1100,1400,02863439,100
187,Gate Deeg,Beast,Dark,3,Moon,Mars,700,800,49258578,30
188,Synchar,Beast,Earth,3,Jupiter,Sun,800,900,75646173,40
189,Fusionist,Beast,Earth,3,Jupiter,Moon,900,700,01641882,35
190,Akakieisu,Spellcaster,Dark,3,Mercury,Uranus,1000,800,38035986,45
191,LaLa Li-oon,Thunder,Wind,2,Pluto,Moon,600,600,09430387,25
192,Key Mace,Fairy,Light,1,Sun,Saturn,400,300,01929294,15
193,Turtle Tiger,Aqua,Water,4,Neptune,Saturn,1000,1500,37313348,100
194,Terra the Terrible,Fiend,Dark,4,Moon,Jupiter,1200,1300,63308047,100
195,Doron,Warrior,Earth,2,Neptune,Moon,900,500,00756652,30
196,Arma Knight,Aqua,Water,4,Neptune,Venus,1000,1200,36151751,70
197,Mech Mole Zombie,Zombie,Dark,2,Moon,Saturn,500,400,63545455,20
198,Happy Lover,Fairy,Light,2,Sun,Uranus,800,500,99030164,30
199,Penguin Knight,Aqua,Water,3,Uranus,Mercury,900,800,36039163,40
200,Petit Dragon,Dragon,Wind,2,Saturn,Sun,600,700,75356564,30
201,Frenzied Panda,Beast,Earth,4,Jupiter,Venus,1200,1000,98818516,70
202,Air Marmot of Nefariousness,Beast,Earth,2,Moon,Uranus,400,600,75889523,20
203,Phantom Ghost,Zombie,Dark,2,Moon,Pluto,600,800,61201220,30
204,Mabarrel,Fiend,Dark,5,Moon,Neptune,1700,1400,98795934,230
205,Dorover,Aqua,Water,3,Neptune,Sun,900,800,24194033,40
206,Twin Long Rods #1,Aqua,Water,3,Moon,Mercury,900,700,60589682,35
207,Droll Bird,Winged Beast,Wind,2,Saturn,Moon,600,500,97973387,25
208,Petit Angel,Fairy,Light,3,Sun,Pluto,600,900,38142739,30
209,Winged Cleaver,Insect,Earth,2,Jupiter,Mercury,700,700,39175982,30
210,Hinotama Soul,Pyro,Fire,2,Mars,Uranus,600,500,96851799,25
211,Kaminarikozou,Thunder,Wind,2,Pluto,Venus,700,600,15510988,30
212,Meotoko,Beast,Earth,2,Moon,Mars,700,600,53832650,30
213,Aqua Madoor,Spellcaster,Water,4,Neptune,Mercury,1200,2000,85639257,260
214,Kagemusha of the Blue Flame,Warrior,Earth,2,Mars,Sun,800,400,15401633,25
215,Flame Ghost,Zombie,Dark,3,Mars,Pluto,1000,800,58528964,45
216,Dryad,Spellcaster,Earth,4,Jupiter,Uranus,1200,1400,84916669,120
217,B. Skull Dragon,Dragon,Dark,9,Moon,Jupiter,3200,2500,11901678,999999
218,Two-mouth Darkruler,Dinosaur,Earth,3,Moon,Saturn,900,700,57305373,35
219,Solitude,Beast-Warrior,Earth,3,Moon,Uranus,1050,1000,84794011,55
220,Masked Sorcerer,Spellcaster,Dark,4,Mercury,Neptune,900,1400,10189126,80
221,Kumootoko,Insect,Earth,3,Jupiter,Pluto,700,1400,56283725,60
222,Midnight Fiend,Fiend,Dark,2,Moon,Neptune,800,600,83678433,30
223,Roaring Ocean Snake,Aqua,Water,6,Neptune,Mars,2100,1800,19066538,550
224,Trap Master,Warrior,Earth,3,Mercury,Moon,500,1100,46461247,35
225,Fiend Sword,Warrior,Dark,4,Moon,Mercury,1400,800,22855882,70
226,Skull Stalker,Warrior,Dark,3,Moon,Mars,900,800,54844990,40
227,Hitodenchak,Aqua,Water,2,Neptune,Mars,600,700,46718686,30
228,Wood Remains,Zombie,Dark,3,Jupiter,Neptune,1000,900,17733394,50
229,Hourglass of Life,Fairy,Light,2,Sun,Neptune,700,600,08783685,30
230,Rare Fish,Fish,Water,4,Neptune,Jupiter,1500,1200,80516007,140
231,Wood Clown,Warrior,Earth,3,Mercury,Mars,800,1200,17511156,55
232,Madjinn Gunn,Fiend,Dark,2,Moon,Jupiter,600,800,43905751,30
233,Dark Titan of Terror,Fiend,Dark,4,Mercury,Jupiter,1300,1100,89494469,120
234,Beautiful Headhuntress,Warrior,Earth,4,Mercury,Saturn,1600,800,16899564,120
235,Wodan the Resident of the Forest,Warrior,Earth,3,Jupiter,Sun,900,1200,42883273,999999
236,Guardian of the Labyrinth,Warrior,Earth,4,Pluto,Mercury,1000,1200,89272878,70
237,Haniwa,Rock,Earth,2,Uranus,Jupiter,500,500,84285623,20
238,Yashinoki,Plant,Earth,2,Jupiter,Moon,800,600,41061625,30
239,Vishwar Randi,Warrior,Dark,3,Mercury,Uranus,900,700,78556320,35
240,The Drdek,Fiend,Dark,3,Moon,Saturn,700,800,08944575,30
241,Dark Assailant,Zombie,Dark,4,Moon,Uranus,1200,1200,41949033,120
242,Candle of Fate,Fiend,Dark,2,Mars,Moon,600,600,47695416,25
243,Water Element,Aqua,Water,3,Neptune,Saturn,900,700,03732747,35
244,Dissolverock,Rock,Earth,3,Mars,Venus,900,1000,40826495,50
245,Meda Bat,Fiend,Dark,2,Moon,Neptune,800,400,76211194,25
246,One Who Hunts Souls,Beast-Warrior,Earth,4,Moon,Mercury,1100,1000,03606209,60
247,Root Water,Fish,Water,3,Neptune,Sun,900,800,39004808,40
248,Master & Expert,Beast,Earth,4,Jupiter,Venus,1200,1000,75499502,70
249,Water Omotics,Aqua,Water,4,Neptune,Moon,1400,1200,02483611,120
250,Hyo,Warrior,Water,3,Neptune,Mercury,800,1200,38982356,55
251,Enchanting Mermaid,Fish,Water,3,Neptune,Venus,1200,900,75376965,60
252,Nekogal #1,Beast,Earth,3,Jupiter,Mercury,1100,900,01761063,999999
253,Angelwitch,Spellcaster,Dark,3,Mercury,Neptune,800,1000,37160778,45
254,Embryonic Beast,Fiend,Dark,2,Moon,Mars,500,750,64154377,25
255,Prevent Rat,Beast,Earth,4,Jupiter,Uranus,500,2000,00549481,100
256,Dimensional Warrior,Warrior,Earth,4,Venus,Mars,1200,1000,37043180,70
257,Stone Armadiller,Rock,Earth,3,Uranus,Sun,800,1200,63432835,55
258,Beastking of the Swamps,Aqua,Water,4,Uranus,Mercury,1000,1100,99426834,60
259,Ancient Sorcerer,Spellcaster,Dark,4,Mercury,Moon,1000,1300,36821538,80
260,Lunar Queen Elzaim,Fairy,Light,3,Moon,Venus,750,1100,62210247,45
261,Wicked Mirror,Fiend,Dark,2,Venus,Jupiter,700,600,15150371,30
262,The Little Swordsman of Aile,Warrior,Water,3,Neptune,Mars,800,1300,25109950,60
263,Rock Ogre Grotto #2,Rock,Earth,3,Uranus,Sun,700,1400,62193699,60
264,Wing Egg Elf,Fairy,Light,3,Sun,Mars,500,1300,98582704,45
265,The Furious Sea King,Aqua,Water,3,Neptune,Jupiter,800,700,18710707,30
266,Princess of Tsurugi,Warrior,Wind,3,Saturn,Venus,900,700,51371017,35
267,Unknown Warrior of Fiend,Warrior,Dark,3,Mercury,Mars,1000,500,97360116,30
268,Sectarian of Secrets,Spellcaster,Dark,2,Mercury,Jupiter,700,500,15507080,25
269,Versago the Destroyer,Fiend,Dark,3,Mercury,Saturn,1100,900,50259460,55
270,Wetha,Aqua,Water,3,Neptune,Saturn,1000,900,96643568,50
271,Megirus Light,Fiend,Dark,3,Mercury,Uranus,900,600,23032273,30
272,Mavelus,Winged Beast,Wind,4,Mars,Mercury,1300,900,59036972,70
273,Ancient Tree of Enlightenment,Plant,Earth,3,Jupiter,Pluto,600,1500,86421986,60
274,Green Phantom King,Plant,Earth,3,Jupiter,Neptune,500,1600,22910685,60
275,Ground Attacker Bugroth,Machine,Earth,4,Uranus,Moon,1500,1000,58314394,100
276,Ray & Temperature,Fairy,Light,3,Sun,Saturn,1000,1000,85309439,55
277,Gorgon Egg,Fiend,Dark,3,Moon,Jupiter,300,1300,11793047,35
278,Petit Moth,Insect,Earth,1,Jupiter,Sun,300,200,58192742,10
279,King Fog,Fiend,Dark,3,Mercury,Neptune,1000,900,84686841,50
280,Protector of the Throne,Warrior,Earth,4,Uranus,Venus,800,1500,10071456,80
281,Mystic Clown,Fiend,Dark,4,Mercury,Moon,1500,1000,47060154,100
282,Mystical Sheep #2,Beast,Earth,3,Venus,Saturn,800,1000,83464209,45
283,Holograh,Machine,Earth,3,Sun,Jupiter,1100,700,10859908,45
284,Tao the Chanter,Spellcaster,Earth,3,Venus,Uranus,1200,900,46247516,999999
285,Serpent Marauder,Reptile,Earth,2,Neptune,Sun,700,600,82742611,30
286,Gatekeeper,Machine,Dark,5,Mercury,Mars,1500,1800,19737320,290
287,Ogre of the Black Shadow,Beast-Warrior,Earth,4,Moon,Saturn,1200,1400,45121025,120
288,Dark Artist,Fiend,Dark,3,Mercury,Jupiter,600,1400,72520073,999999
289,Change Slime,Aqua,Water,1,Neptune,Moon,400,300,18914778,15
290,Moon Envoy,Warrior,Light,4,Moon,Saturn,1100,1000,45909477,60
291,Fireyarou,Pyro,Fire,4,Mars,Saturn,1300,1000,71407486,80
292,Psychic Kappa,Aqua,Water,2,Neptune,Venus,400,1000,07892180,30
293,Masaki the Legendary Swordsman,Warrior,Earth,4,Sun,Uranus,1100,1100,44287299,70
294,Dragoness the Wicked Knight,Warrior,Wind,3,Saturn,Mercury,1200,900,70681994,60
295,Bio Plant,Fiend,Dark,3,Jupiter,Moon,600,1300,07670542,50
296,One-eyed Shield Dragon,Dragon,Wind,3,Saturn,Pluto,700,1300,33064647,55
297,Cyber Soldier of Darkworld,Machine,Dark,4,Moon,Uranus,1400,1200,75559356,120
298,Wicked Dragon with the Ersatz Head,Dragon,Wind,3,Moon,Neptune,900,900,02957055,45
299,Sonic Maid,Warrior,Earth,3,Sun,Pluto,1200,900,38942059,999999
300,Kurama,Winged Beast,Wind,3,Saturn,Neptune,800,800,85705804,35
301,Legendary Sword,Equip,,0,,,0,0,61854111,800
302,Sword of Dark Destruction,Equip,,0,,,0,0,37120512,800
303,Dark Energy,Equip,,0,,,0,0,04614116,800
304,Axe of Despair,Equip,,0,,,0,0,40619825,800
305,Laser Cannon Armor,Equip,,0,,,0,0,77007920,800
306,Insect Armor with Laser Cannon,Equip,,0,,,0,0,03492538,800
307,Elf's Light,Equip,,0,,,0,0,39897277,800
308,Beast Fangs,Equip,,0,,,0,0,46009906,800
309,Steel Shell,Equip,,0,,,0,0,02370081,800
310,Vile Germs,Equip,,0,,,0,0,39774685,800
311,Black Pendant,Equip,,0,,,0,0,65169794,800
312,Silver Bow and Arrow,Equip,,0,,,0,0,01557499,800
313,Horn of Light,Equip,,0,,,0,0,38552107,800
314,Horn of the Unicorn,Equip,,0,,,0,0,64047146,800
315,Dragon Treasure,Equip,,0,,,0,0,01435851,800
316,Electro-whip,Equip,,0,,,0,0,37820550,800
317,Cyber Shield,Equip,,0,,,0,0,63224564,800
318,Elegant Egotist,Equip,,0,,,0,0,90219263,999999
319,Mystical Moon,Equip,,0,,,0,0,36607978,800
320,Stop Defense,Magic,,0,,,0,0,63102017,800
321,Malevolent Nuzzler,Equip,,0,,,0,0,99597615,800
322,Violet Crystal,Equip,,0,,,0,0,15052462,800
323,Book of Secret Arts,Equip,,0,,,0,0,91595718,800
324,Invigoration,Equip,,0,,,0,0,98374133,800
325,Machine Conversion Factory,Equip,,0,,,0,0,25769732,999999
326,Raise Body Heat,Equip,,0,,,0,0,51267887,800
327,Follow Wind,Equip,,0,,,0,0,98252586,800
328,Power of Kaishin,Equip,,0,,,0,0,77027445,800
329,Dragon Capture Jar,Magic,,0,,,0,0,50045299,999999
330,Forest,Magic,,0,,,0,0,87430998,55
331,Wasteland,Magic,,0,,,0,0,23424603,55
332,Mountain,Magic,,0,,,0,0,50913601,55
333,Sogen,Magic,,0,,,0,0,86318356,55
334,Umi,Magic,,0,,,0,0,22702055,55
335,Yami,Magic,,0,,,0,0,59197169,55
336,Dark Hole,Magic,,0,,,0,0,53129443,20000
337,Raigeki,Magic,,0,,,0,0,12580477,999999
